FLYBASE,query,SYMBOL,GENENAME,chromosome_name,start_position,end_position
FBgn0026252,msk,msk,moleskin,3L,8116179,8121579
FBgn0026255,clumsy,clumsy,clumsy,2L,21206493,21211818
FBgn0026257,cav,cav,caravaggio,3R,24221103,24223528
FBgn0026259,eIF5B,eIF5B,eukaryotic translation initiation factor 5B,3L,3428658,3460977
FBgn0026261,bonsai,bonsai,bonsai,2R,22637770,22638868
FBgn0026262,bip2,bip2,bip2,4,459887,466828
FBgn0026263,bip1,bip1,bip1,3L,8054333,8058713
FBgn0026309,aft,aft,adrift,2R,17786135,17788556
FBgn0026313,X11L,X11L,X11L,X,17599608,17606879
FBgn0026314,Ugt35b,Ugt35B1,UDP-glycosyltransferase family 35 member B1,3R,11168503,11170246
FBgn0026315,Ugt35a,Ugt35A1,UDP-glycosyltransferase family 35 member A1,3R,11170817,11172664
FBgn0026316,UbcD10,Ubc10,Ubiquitin conjugating enzyme 10,2R,17788412,17789410
FBgn0026317,Tsc1,Tsc1,Tsc1,3R,24130307,24134654
FBgn0026319,Traf4,Traf4,TNF-receptor-associated factor 4,2L,4361925,4380716
FBgn0026320,Tom,Tom,Twin of m4,3L,14969344,14970306
FBgn0026323,Tak1,Tak1,TGF-beta activated kinase 1,X,20515908,20524928
FBgn0026324,Taf10b,Taf10b,TBP-associated factor 10b,2L,2767286,2767845
FBgn0026326,TXBP181-like,Mad1,Mitotic arrest-deficient 1,2R,9288957,9291565
FBgn0026361,Sep5,Sep5,Septin 5,2R,7960133,7961921
FBgn0026369,Sara,Sara,Smad anchor for receptor activation,2R,21481927,21487107
FBgn0026371,SAK,SAK,Sak kinase,3L,21512141,21515887
FBgn0026372,RpL23A,RpL23A,Ribosomal protein L23A,3L,1666288,1668654
FBgn0026373,RpII33,RpII33,RNA polymerase II 33kD subunit,2L,13833337,13834306
FBgn0026374,Rhp,Rhp,Rhophilin,X,15788897,15793632
FBgn0026375,RhoGAPp190,RhoGAPp190,Rho GTPase activating protein p190,X,17639147,17652562
FBgn0026376,Rgl,Rgl,Ral guanine nucleotide dissociation stimulator-like,3L,13906897,13925335
FBgn0026378,Rep,Rep,Rab escort protein,2R,19492087,19494125
FBgn0026379,Pten,Pten,Phosphatase and tensin homolog,2L,10256319,10261049
FBgn0026380,Prosbeta3,Prosbeta3,Proteasome beta3 subunit,3R,9005313,9006226
FBgn0026384,Or59a,Or59a,Odorant receptor 59a,2R,23439868,23441065
FBgn0026388,Or46a,Or46a,Odorant receptor 46a,2R,10139264,10142074
FBgn0026390,Or33c,Or33c,Odorant receptor 33c,2L,11937969,11939202
FBgn0026393,Or43b,Or43b,Odorant receptor 43b,2R,7920835,7922604
FBgn0026395,Or23a,Or23a,Odorant receptor 23a,2L,2654049,2655462
FBgn0026396,Or22c,Or22c,Odorant receptor 22c,2L,2054589,2057967
FBgn0026397,Or22b,Or22b,Odorant receptor 22b,2L,1522697,1524257
FBgn0026398,Or22a,Or22a,Odorant receptor 22a,2L,1520491,1522156
FBgn0026399,Or85e,Or85e,Odorant receptor 85e,3R,8634320,8635878
FBgn0026400,Noa36,Noa36,Noa36,3R,28598059,28599288
FBgn0026401,Nipped-B,Nipped-B,Nipped-B,2R,4691672,4729017
FBgn0026402,NiPp1,NiPp1,Nuclear inhibitor of Protein phosphatase 1,2R,17003563,17005149
FBgn0026403,Ndg,Ndg,Nidogen/entactin,2R,10313891,10322104
FBgn0026409,Mpcp,Mpcp2,Mitochondrial phosphate carrier protein 2,3L,14537651,14540441
FBgn0026411,Lim1,Lim1,LIM homeobox 1,X,8756539,8805804
FBgn0026415,Idgf4,Idgf4,Imaginal disc growth factor 4,X,9927973,9930948
FBgn0026417,Hus1-like,Hus1-like,Hus1-like,3R,4808336,4812096
FBgn0026418,Hsc70Cb,Hsc70Cb,Hsc70Cb,3L,14037019,14043686
FBgn0026427,Su(var)2-HP2,Su(var)2-HP2,Su(var)2-HP2,2R,14607154,14618118
FBgn0026428,HDAC6,HDAC6,Histone deacetylase 6,X,15333310,15340360
FBgn0026430,Grip84,Grip84,Gamma-tubulin ring protein 84,X,19559431,19565764
FBgn0026431,Grip75,Grip75,Grip75,2L,10483295,10485857
FBgn0026432,Grip163,Grip163,Grip163,3L,11993274,11998138
FBgn0026433,Grip128,Grip128,Grip128,X,15468281,15472119
FBgn0026438,Eaat2,Eaat2,Excitatory amino acid transporter 2,2L,737212,744395
FBgn0026439,Eaat1,Eaat1,Excitatory amino acid transporter 1,2L,9333567,9341925
FBgn0026441,ear,ear,ENL/AF9-related,3R,15320756,15325279
FBgn0026479,Drp1,Drp1,Dynamin related protein 1,2L,2581281,2585430
FBgn0026533,Dek,Dek,Dek,2R,16856220,16861738
FBgn0026562,BM-40-SPARC,SPARC,"Secreted protein, acidic, cysteine-rich",3R,26869238,26871995
FBgn0026563,CG1979,CG1979,uncharacterized protein,3R,7054586,7058671
FBgn0026565,CG1315,Ass,Argininosuccinate synthase,3R,6642262,6644434
FBgn0026566,CG1307,CG1307,uncharacterized protein,3R,6656030,6657442
FBgn0026570,CG5704,CG5704,uncharacterized protein,3L,2169553,2170971
FBgn0026573,CG8290,ADD1,ADD domain-containing protein 1,2R,11970686,11977721
FBgn0026575,hang,hang,hangover,X,16422831,16438454
FBgn0026576,CG5991,Pisd,Phosphatidylserine decarboxylase,3R,24050783,24053592
FBgn0026577,CG8677,CG8677,uncharacterized protein,2L,21221312,21232059
FBgn0026582,CG9418,Hmg-2,High mobility group protein 2,2R,21146203,21147608
FBgn0026592,Fie,Fie,Fire exit,3L,3892574,3894833
FBgn0026593,CG5707,CG5707,uncharacterized protein,3L,2189160,2192221
FBgn0026597,Axn,Axn,Axin,3R,30022842,30035311
FBgn0026598,Apc2,Apc2,Adenomatous polyposis coli 2,3R,24163966,24168264
FBgn0026602,Ady43A,Ady43A,Ady43A,2R,7243024,7245776
FBgn0026616,alpha-Man-IIb,alpha-Man-IIb,alpha-Mannosidase class II b,3R,15804248,15824118
FBgn0026619,Taz,Taz,Tafazzin,2R,12753026,12756414
FBgn0026620,tacc,tacc,transforming acidic coiled-coil protein,3R,4733654,4749056
FBgn0026630,nes,nes,nessy,3L,19257282,19260679
FBgn0026634,ldlCp,Cog2,Component of oligomeric golgi complex 2,3R,15358481,15361657
FBgn0026666,l(1)G0136,MagR,Magnetic receptor,X,15734270,15735780
FBgn0026679,l(1)G0095,IntS4,Integrator 4,X,8555239,8558781
FBgn0026702,l(1)G0045,Pop1,POP1 ribonuclease P/MRP subunit,X,5622648,5625493
FBgn0026713,l(1)G0007,l(1)G0007,lethal (1) G0007,X,14201362,14224732
FBgn0026718,fu12,Agpat2,1-Acylglycerol-3-phosphate O-acyltransferase 2,2L,8449691,8463994
FBgn0026721,fat-spondin,fat-spondin,fat-spondin,2R,17054002,17059299
FBgn0026722,drosha,drosha,drosha,2R,7932429,7936840
FBgn0026737,CG6171,CG6171,uncharacterized protein,3R,15362796,15363857
FBgn0026738,CG7857,CG7857,uncharacterized protein,3L,15503600,15504894
FBgn0026741,mRpL18,mRpL18,mitochondrial ribosomal protein L18,2R,12756434,12757173
FBgn0026749,Yippee,Yippee,yippee,X,13385914,13387417
FBgn0026751,XRCC1,XRCC1,XRCC1,X,5329876,5332435
FBgn0026754,Ugt37c1,Ugt37C1,UDP-glycosyltransferase family 37 member C1,2R,16843296,16845038
FBgn0026755,Ugt37b1,Ugt37B1,UDP-glycosyltransferase family 37 member B1,2L,6225048,6226842
FBgn0026756,Ugt37a1,Ugt37A1,UDP-glycosyltransferase family 37 member A1,2L,20372409,20374104
FBgn0026760,Tehao,Tehao,tehao,2L,13435622,13439930
FBgn0026761,Trap1,Trap1,Trap1,2R,6633647,6636262
FBgn0026777,Rad23,Rad23,Rad23,4,308093,310822
FBgn0026787,Nhe1,Nhe1,Na[+]/H[+] hydrogen exchanger 1,2L,103962,106732
FBgn0026869,Thd1,Thd1,Thd1,4,538332,557854
FBgn0026872,CG14777,CG14777,uncharacterized protein,X,1466134,1468692
FBgn0026873,MED18,MED18,Mediator complex subunit 18,X,1865909,1866887
FBgn0026874,CG13358,CG13358,uncharacterized protein,X,803424,804921
FBgn0026876,CG11403,CG11403,uncharacterized protein,X,1236873,1239884
FBgn0026878,CG4325,CG4325,uncharacterized protein,X,2042730,2043818
FBgn0026879,CG13364,CG13364,uncharacterized protein,X,624757,625203
FBgn0027053,CSN5,CSN5,COP9 signalosome subunit 5,3R,16470099,16471406
FBgn0027054,CSN4,CSN4,COP9 signalosome subunit 4,2R,7972175,7974099
FBgn0027055,CSN3,CSN3,COP9 signalosome subunit 3,3L,20839096,20841576
FBgn0027057,CSN1b,CSN1b,COP9 signalosome subunit 1b,3L,18903057,18904930
FBgn0027066,Eb1,Eb1,Eb1,2R,6749227,6756300
FBgn0027070,CG17322,Ugt36E1,UDP-glycosyltransferase family 36 member E1,2L,18826770,18829059
FBgn0027073,CG4302,Ugt49B1,UDP-glycosyltransferase family 49 member B1,2R,21212880,21214972
FBgn0027079,Aats-val,ValRS,Valyl-tRNA synthetase,2R,13198850,13202709
FBgn0027080,Aats-tyr,TyrRS,Tyrosyl-tRNA synthetase,3L,16417349,16419302
FBgn0027081,Aats-thr,ThrRS,Threonyl-tRNA synthetase,2L,12103751,12107170
FBgn0027082,Aats-pro,ProRS-m,"Prolyl-tRNA synthetase, mitochondrial",3L,2650161,2651850
FBgn0027083,Aats-met,MetRS-m,"Methionyl-tRNA synthetase, mitochondrial",3R,14249043,14259991
FBgn0027084,Aats-lys,LysRS,Lysyl-tRNA synthetase,X,9606363,9608884
FBgn0027085,Aats-leu,LeuRS-m,"Leucyl-tRNA synthetase, mitochondrial",3L,4825853,4829038
FBgn0027086,Aats-ile,IleRS,Isoleucyl-tRNA synthetase,3L,22288665,22292810
FBgn0027087,Aats-his,HisRS,Histidyl-tRNA synthetase,X,18515428,18520445
FBgn0027088,Aats-gly,GlyRS,Glycyl-tRNA synthetase,3L,15095142,15097686
FBgn0027090,Aats-gln,GlnRS,Glutaminyl-tRNA synthetase,3R,25263267,25265721
FBgn0027091,Aats-cys,CysRS,Cysteinyl-tRNA synthetase,2R,16143147,16145906
FBgn0027093,Aats-arg,ArgRS,Arginyl-tRNA synthetase,X,15841769,15844145
FBgn0027094,Aats-ala,AlaRS,Alanyl-tRNA synthetase,2L,8378262,8381764
FBgn0027095,Manf,Manf,Mesencephalic astrocyte-derived neurotrophic factor,3R,16349404,16350801
FBgn0027101,Dyrk3,Dyrk3,Dual-specificity tyrosine phosphorylation-regulated kinase 3,4,1225089,1230713
FBgn0027106,inx7,Inx7,Innexin 7,X,6991612,6993612
FBgn0027108,inx2,Inx2,Innexin 2,X,6998672,7004151
FBgn0027109,npf,NPF,neuropeptide F,3R,16609220,16611325
FBgn0027111,miple,miple1,midkine and pleiotrophin 1,3L,267299,270336
FBgn0027259,Kmn1,Kmn1,kinetochore Mis12-Ndc80 network component 1,X,11571383,11572442
FBgn0027279,l(1)G0196,l(1)G0196,lethal (1) G0196,X,22487180,22508129
FBgn0027280,l(1)G0193,l(1)G0193,lethal (1) G0193,X,7941478,7946908
FBgn0027287,Gmap,Gmap,Golgi microtubule-associated protein,X,15486922,15511223
FBgn0027291,l(1)G0156,Idh3a,Isocitrate dehydrogenase 3a,X,19518428,19521810
FBgn0027296,l(1)G0144,temp,tempura,X,2260207,2262515
FBgn0027329,Tcp-1zeta,CCT6,Chaperonin containing TCP1 subunit 6,X,15746648,15748971
FBgn0027330,l(1)G0020,l(1)G0020,lethal (1) G0020,X,8716713,8720277
FBgn0027334,l(1)G0004,l(1)G0004,lethal (1) G0004,X,20391447,20392401
FBgn0027335,Rip11,Rip11,Rab11 interacting protein,X,18635642,18647648
FBgn0027338,Kap-alpha3,Kap-alpha3,karyopherin alpha3,3R,9574484,9577733
FBgn0027339,jim,jim,jim,3L,22789233,22835194
FBgn0027342,fz4,fz4,frizzled 4,X,7106272,7110321
FBgn0027343,fz3,fz3,frizzled 3,X,769945,784222
FBgn0027348,bgm,bgm,bubblegum,2L,14013004,14019328
FBgn0027356,Amph,Amph,Amphiphysin,2R,12593604,12612068
FBgn0027358,Tim9b,Tim9b,Translocase of inner membrane 9b,X,19616663,19618537
FBgn0027359,Tim8,Tim8,Tim8,X,11368445,11369283
FBgn0027360,Tim10,Tim10,Translocase of inner membrane 10,2R,21690215,21691139
FBgn0027363,Stam,Stam,Signal transducing adaptor molecule,2L,10858536,10862006
FBgn0027364,Six4,Six4,Six4,3L,20788886,20792777
FBgn0027375,RecQ5,RecQ5,RecQ5 helicase,3L,14628160,14632077
FBgn0027376,rha,rha,rha,3R,25340252,25344838
FBgn0027378,MRG15,MRG15,MORF-related gene 15,3R,15276440,15278109
FBgn0027453,Dnz1,Dnz1,DNZDHHC/NEW1 zinc finger protein 11,2L,10854435,10856644
FBgn0027490,D12,D12,D12,2L,8434058,8437365
FBgn0027491,Cdk5alpha,Cdk5alpha,Cdk5 activator-like protein,2L,10308131,10310956
FBgn0027492,wdb,wdb,widerborst,3R,27561675,27582241
FBgn0027493,CG17273,AdSS,Adenylosuccinate Synthetase,3R,20824667,20830580
FBgn0027494,RpS10a,RpS10a,Ribosomal protein S10a,3R,27652760,27653363
FBgn0027495,CG8378,Smyd4-4,"SET and MYND domain containing, class 4, member 4",2R,12140631,12143272
FBgn0027496,epsilonCOP,epsilonCOP,Coat Protein (coatomer) epsilon,2L,6489090,6490194
FBgn0027497,Madm,Madm,MLF1-adaptor molecule,3R,5742510,5747138
FBgn0027498,CG2061,CG2061,uncharacterized protein,X,11092492,11094947
FBgn0027499,wde,wde,windei,2R,10800420,10808938
FBgn0027500,spd-2,spd-2,spindle defective 2,3L,16591207,16595014
FBgn0027503,CG11970,CG11970,uncharacterized protein,3R,8984718,8990649
FBgn0027504,CG8878,CG8878,uncharacterized protein,2R,12146024,12151057
FBgn0027505,rab3-GAP,Rab3-GAP,Rab3 GTPase activating protein,2L,12058304,12063184
FBgn0027506,EDTP,EDTP,Egg-derived tyrosine phosphatase,2R,17432173,17444938
FBgn0027507,CG1344,CG1344,uncharacterized protein,2R,5653676,5656778
FBgn0027508,tankyrase,Tnks,tankyrase,3R,25653091,25661286
FBgn0027509,CG7261,TBCD,tubulin folding cofactor D,2L,2147518,2151664
FBgn0027512,CG10254,CG10254,uncharacterized protein,3R,23689007,23694983
FBgn0027513,ana2,ana2,anastral spindle 2,2R,8898729,8900211
FBgn0027514,CG1024,CG1024,uncharacterized protein,3R,6377349,6380328
FBgn0027515,CG7115,CG7115,uncharacterized protein,2L,7821151,7825350
FBgn0027518,CG7609,Wdr24,WD repeat domain 24,3R,29741972,29745092
FBgn0027521,CG3679,CG3679,uncharacterized protein,X,16303870,16307377
FBgn0027524,CG3909,CG3909,uncharacterized protein,3R,10043270,10044606
FBgn0027525,CG7686,LTV1,LTV1 ribosome biogenesis factor,2R,10836570,10838727
FBgn0027526,CG6697,Ublcp1,Ubiquitin-like domain-containing C-terminal domain phosphatase 1,3R,23061493,23062751
FBgn0027528,CG9634,goe,gone early,X,16727304,16751910
FBgn0027529,CG8920,tapas,tapas,2R,20319180,20325973
FBgn0027532,CG7139,CG7139,uncharacterized protein,3L,22067270,22071848
FBgn0027535,botv,botv,brother of tout-velu,2R,19129589,19133706
FBgn0027537,CG11092,Nup93-1,Nucleoporin 93kD-1,X,13822826,13825910
FBgn0027538,beta4GalNAcTA,beta4GalNAcTA,"beta1,4-N-acetylgalactosaminyltransferase A",2R,14259030,14261150
FBgn0027539,CG5807,lili,lilipod,3R,24805445,24814012
FBgn0027544,CG2217,CG2217,uncharacterized protein,3R,30418767,30422971
FBgn0027546,CG4766,CG4766,uncharacterized protein,X,5997508,6000797
FBgn0027547,CG1927,CG1927,uncharacterized protein,3L,1966725,1970079
FBgn0027548,nito,nito,spenito,2R,7962463,7969805
FBgn0027549,CG7927,Nulp1,Nuclear localized protein 1,3L,8110368,8113406
FBgn0027550,CG6495,CG6495,uncharacterized protein,2L,10761116,10764971
FBgn0027552,CG10863,CG10863,uncharacterized protein,3L,3941008,3942465
FBgn0027553,NELF-B,NELF-B,NELF-B,X,7725996,7728361
FBgn0027554,CG8042,CG8042,uncharacterized protein,3L,7972449,7974991
FBgn0027556,CG4928,CG4928,uncharacterized protein,X,16913180,16938209
FBgn0027558,pgant3,Pgant3,Polypeptide N-Acetylgalactosaminyltransferase 3,2R,7057654,7061732
FBgn0027560,Tps1,Tps1,Trehalose-6-phosphate synthase 1,2L,4388327,4392778
FBgn0027561,CG18659,CG18659,uncharacterized protein,2R,9123304,9132030
FBgn0027562,CG10345,CG10345,uncharacterized protein,3R,16597073,16604861
FBgn0027563,CG9631,CG9631,uncharacterized protein,3R,14225098,14226762
FBgn0027564,CG3149,CG3149,uncharacterized protein,X,5692945,5695205
FBgn0027565,CG5498,CG5498,uncharacterized protein,3L,20382405,20384109
FBgn0027567,CG8108,CG8108,uncharacterized protein,3L,9864639,9870674
FBgn0027568,CG5366,Cand1,Cullin-associated and neddylation-dissociated 1,2L,10358134,10362707
FBgn0027569,CG7207,cert,ceramide transfer protein,3L,8282528,8289870
FBgn0027570,Nep2,Nep2,Neprilysin 2,3R,4719458,4731878
FBgn0027572,CG5009,CG5009,uncharacterized protein,2R,17760940,17764541
FBgn0027574,CG5815,CG5815,uncharacterized protein,3R,27112566,27115126
FBgn0027575,GABA-B-R2,GABA-B-R2,metabotropic GABA-B receptor subtype 2,3R,21770333,21775840
FBgn0027578,CG14526,Nepl21,Neprilysin-like 21,3R,28883693,28886015
FBgn0027579,CG5508,mino,minotaur,3R,27925191,27933077
FBgn0027580,CG1516,PCB,Pyruvate carboxylase,2R,9850703,9861543
FBgn0027581,CG6191,CG6191,uncharacterized protein,2R,13580313,13593339
FBgn0027582,CG6230,CG6230,uncharacterized protein,2L,11115635,11120319
FBgn0027583,CG7601,CG7601,uncharacterized protein,3R,29735269,29736745
FBgn0027584,CG4757,CG4757,uncharacterized protein,3R,11161207,11163498
FBgn0027585,CG8740,CG8740,uncharacterized protein,2R,8735810,8759590
FBgn0027586,CG5867,CG5867,uncharacterized protein,2L,13236494,13239297
FBgn0027587,CG7028,CG7028,uncharacterized protein,3L,207184,211457
FBgn0027588,CG14476,GCS2alpha,Glucosidase 2 alpha subunit,X,21600502,21605264
FBgn0027589,CG1688,CG1688,uncharacterized protein,2R,9766364,9806875
FBgn0027590,CG16936,GstE12,Glutathione S transferase E12,2R,24766718,24768172
FBgn0027592,MED15,MED15,Mediator complex subunit 15,2L,473013,476170
FBgn0027594,drpr,drpr,draper,3L,1715595,1731107
FBgn0027596,CG10249,Kank,kank,2R,14901475,14928425
FBgn0027597,CG17712,CG17712,uncharacterized protein,2L,1750687,1752122
FBgn0027598,CG31012,cindr,CIN85 and CD2AP related,3R,30808617,30827005
FBgn0027599,CG2790,CG2790,uncharacterized protein,2R,24946561,24948378
FBgn0027600,obst-B,obst-B,obstructor-B,2L,10032690,10038954
FBgn0027601,CG9009,pdgy,pudgy,X,14933670,14953532
FBgn0027602,CG8611,CG8611,uncharacterized protein,X,17413267,17422145
FBgn0027603,Ulp1,Ulp1,Ulp1,X,19202103,19208187
FBgn0027607,CG8230,CG8230,uncharacterized protein,2R,8944298,8947344
FBgn0027608,CG2082,CG2082,uncharacterized protein,3R,5758680,5781076
FBgn0027609,morgue,morgue,"modifier of rpr and grim, ubiquitously expressed",2L,4442870,4444680
FBgn0027610,CG8790,Dic1,Dicarboxylate carrier 1,3R,13364938,13369278
FBgn0027611,CG6206,LManII,Lysosomal alpha-mannosidase II,2L,10457658,10462472
FBgn0027615,CG6404,OXA1L,OXA1L mitochondrial inner membrane protein,3L,10884261,10886471
FBgn0027616,YT521-B,Ythdc1,YTH domain containing 1,3L,3370451,3374170
FBgn0027617,CG5808,CG5808,uncharacterized protein,3R,24814903,24817007
FBgn0027619,Adam,eIF3j,eukaryotic translation initiation factor 3 subunit j,2R,9968929,9970897
FBgn0027620,Acf1,Acf,ATP-dependent chromatin assembly factor large subunit,3R,31793981,31799799
FBgn0027621,Pfrx,Pfrx,6-phosphofructo-2-kinase,X,19495505,19509350
FBgn0027654,jdp,jdp,jdp,3R,30517059,30527037
FBgn0027655,htt,htt,huntingtin,3R,28696242,28734816
FBgn0027657,glob1,glob1,globin 1,3R,15896926,15904643
FBgn0027660,blot,blot,bloated tubules,3L,17396031,17421514
FBgn0027779,VhaSFD,VhaSFD,Vacuolar H[+]-ATPase SFD subunit,2L,16722883,16727826
FBgn0027780,U26,Aasdh,Aminoadipate-semialdehyde dehydrogenase,2L,8445861,8449576
FBgn0027783,SMC2,SMC2,Structural maintenance of chromosomes 2,2R,14848621,14852653
FBgn0027784,Prp18,Prp18,Prp18,3R,19029968,19031271
FBgn0027785,NP15.6,NP15.6,NP15.6,3R,19027368,19028015
FBgn0027786,Mtch,Mtch,Mitochondrial carrier homolog 1,3L,184626,186310
FBgn0027788,Hey,Hey,Hairy/E(spl)-related with YRPW motif,2R,7995438,7998278
FBgn0027790,GV1,GV1,GV1,3L,1810588,1822903
FBgn0027791,O-fut2,O-fut2,O-fucosyltransferase 2,X,1464363,1465996
FBgn0027793,CG14787,CG14787,uncharacterized protein,X,1460807,1461676
FBgn0027794,CG14786,Lrpprc2,Leucine-rich pentatricopeptide repeat containing 2,X,1457175,1460617
FBgn0027795,CG14785,CG14785,uncharacterized protein,X,1455215,1457054
FBgn0027835,Dp1,Dp1,Dodeca-satellite-binding protein 1,2R,18412027,18421124
FBgn0027836,Dgp-1,Dgp-1,Dgp-1,2R,18168413,18172607
FBgn0027841,CstF-64,CstF64,Cleavage stimulation factor 64 kD subunit,3R,18659618,18661126
FBgn0027843,CAH2,CAH2,Carbonic anhydrase 2,3L,12177601,12183347
FBgn0027844,CAH1,CAH1,Carbonic anhydrase 1,2L,13803626,13809994
FBgn0027864,Ogg1,Ogg1,8-oxoguanine DNA glycosylase,X,8690327,8691811
FBgn0027865,Tsp96F,Tsp96F,Tetraspanin 96F,3R,25872900,25881427
FBgn0027866,CG9776,CG9776,uncharacterized protein,3R,4327814,4334071
FBgn0027868,Nup107,Nup107,Nucleoporin 107kD,2L,10733293,10736071
FBgn0027872,rdgBbeta,rdgBbeta,rdgBbeta,2R,17695776,17698362
FBgn0027873,Cpsf100,Cpsf100,Cleavage and polyadenylation specificity factor 100,3R,29034573,29037062
FBgn0027889,ball,ball,ballchen,3R,26864605,26866807
FBgn0027903,CG12018,Pol31,Pol31 polymerase delta subunit,3L,1775633,1777019
FBgn0027930,MP1,MP1,Melanization Protease 1,3R,4307908,4309835
FBgn0027932,Akap200,Akap200,A kinase anchor protein 200,2L,8415690,8431297
FBgn0027934,alpha-Est4aPsi,alpha-Est4aPsi,pseudo,3R,7526369,7528068
FBgn0027945,ppl,ppl,pumpless,3L,21280491,21281506
FBgn0027948,msps,msps,mini spindles,3R,16050801,16060675
FBgn0027949,msb1l,msb1l,msb1l,2L,19577701,19579131
FBgn0027950,MBD-like,MBD-like,Methyl-CpG binding domain protein-like,3R,9559760,9561533
FBgn0027951,MTA1-like,MTA1-like,Metastasis associated 1-like,3R,5638655,5648738
FBgn0028292,ric8a,ric8a,ric8a,X,9256168,9259202
FBgn0028325,l(1)G0334,Pdha,Pyruvate dehydrogenase E1 alpha subunit,X,4702284,4705265
FBgn0028327,l(1)G0320,l(1)G0320,lethal (1) G0320,X,9551140,9553750
FBgn0028331,l(1)G0289,l(1)G0289,lethal (1) G0289,X,10348680,10366273
FBgn0028341,l(1)G0232,Ptpmeg2,Protein tyrosine phosphatase Meg2,X,9626294,9659145
FBgn0028342,l(1)G0230,ATPsyndelta,"ATP synthase, delta subunit",X,10212970,10217393
FBgn0028343,l(1)G0222,Ankle2,Ankyrin repeat and LEM domain containing 2,X,17571854,17579229
FBgn0028360,l(1)G0148,Cdc7,Cdc7 kinase,X,6654541,6659709
FBgn0028369,kirre,kirre,kin of irre,X,2740384,3134532
FBgn0028370,kek3,kek3,kekkon 3,2L,15552723,15583978
FBgn0028371,jbug,jbug,jitterbug,2R,22717321,22740459
FBgn0028372,isopeptidase-T-3,isopeptidase-T-3,isopeptidase-T-3,2R,19670618,19673477
FBgn0028375,heix,heix,heixuedian,2L,16296051,16299858
FBgn0028377,gdl-ORF39,gdl-ORF39,gdl-ORF39,3L,15509445,15510837
FBgn0028379,fan,fan,farinelli,3L,8109132,8110043
FBgn0028380,fal,fal,falten,3L,19294564,19298830
FBgn0028381,decay,Decay,Death executioner caspase related to Apopain/Yama,3R,16499058,16501050
FBgn0028382,cyp33,cyp33,cyclophilin-33,2R,17545222,17546400
FBgn0028387,chm,chm,chameau,2L,7412417,7422736
FBgn0028394,CG17834,CG17834,uncharacterized protein,2L,8529141,8541439
FBgn0028396,TotA,TotA,Turandot A,3R,20871036,20871700
FBgn0028397,Tob,Tob,Transducer of ERBB2,X,16074717,16091495
FBgn0028398,Taf10,Taf10,TBP-associated factor 10,2L,2767890,2768612
FBgn0028399,TMS1,TMS1,TMS1,3L,16412722,16415386
FBgn0028400,Syt4,Syt4,Synaptotagmin 4,3R,7266065,7270809
FBgn0028402,Sin,Sin,Sex-lethal interactor,3L,21031825,21033561
FBgn0028406,Drep-4,Drep4,DNA fragmentation factor-related protein 4,2L,13283912,13286462
FBgn0028408,Drep-2,Drep2,DNA fragmentation factor-related protein 2,2R,9291856,9302821
FBgn0028410,Pk34A,Pk34A,Pk34A,2L,13158810,13160173
FBgn0028411,Nxt1,Nxt1,NTF2-related export protein 1,2R,23811321,23811974
FBgn0028418,Leucokinin,Lk,Leucokinin,3L,14560139,14560764
FBgn0028421,Kap3,Kap3,Kinesin associated protein 3,X,11334187,11340084
FBgn0028422,KaiRIA,GluRIID,Glutamate receptor IID,3R,20648595,20652450
FBgn0028424,JhI-26,JhI-26,Juvenile hormone-inducible protein 26,2R,16289320,16291333
FBgn0028425,JhI-21,JhI-21,Juvenile hormone Inducible-21,2L,12051755,12056042
FBgn0028426,JhI-1,RNaseZ,Ribonuclease Z,2R,10307030,10309794
FBgn0028427,Ilk,Ilk,Integrin linked kinase,3L,21216901,21219240
FBgn0028429,I-2,I-2,Inhibitor-2,3L,9834367,9836805
FBgn0028434,Ercc1,Ercc1,Ercc1,2R,14852941,14853948
FBgn0028436,ECSIT,ECSIT,ECSIT,3R,5856585,5857914
FBgn0028467,CG11070,CG11070,uncharacterized protein,2L,6658517,6662033
FBgn0028468,rtet,rtet,tetracycline resistance,3R,21108446,21110834
FBgn0028471,CG5720,Nab2,Nuclear polyadenosine RNA-binding 2,3R,24314660,24318419
FBgn0028473,CG8801,Non1,Novel nucleolar protein 1,2R,9396265,9398734
FBgn0028474,CG4119,CG4119,uncharacterized protein,X,5666052,5670652
FBgn0028475,Hrd3,Hrd3,HMG-coA reductase degradation 3,3R,23754623,23758557
FBgn0028476,CG15817,Usp1,Ubiquitin specific protease 1,3R,29229161,29235302
FBgn0028479,CG4389,Mtpalpha,Mitochondrial trifunctional protein alpha subunit,2L,9573563,9576769
FBgn0028480,CG17841,CG17841,uncharacterized protein,X,10368052,10384183
FBgn0028481,CG4341,CG4341,uncharacterized protein,2L,922793,958098
FBgn0028482,CG16857,bdl,borderless,2L,4324554,4331830
FBgn0028484,Ack,Ack,Activated Cdc42 kinase,3L,4108186,4114157
FBgn0028487,f-cup,f-cup,flyers-cup,3R,13695263,13700838
FBgn0028490,CG31705,CG31705,uncharacterized protein,2L,11523021,11528205
FBgn0028491,CG2930,CG2930,uncharacterized protein,X,3868973,3880379
FBgn0028494,CG6424,CG6424,uncharacterized protein,2R,17703335,17719346
FBgn0028496,CG30116,CG30116,uncharacterized protein,2R,18456602,18498026
FBgn0028497,CG3530,CG3530,uncharacterized protein,2R,23389009,23396680
