GENEID,TXNAME,TXCHROM,TXSTRAND,exonic.gene.sizes
FBgn0029945,FBtr0071051,X,+,2047
FBgn0029946,FBtr0339816,X,-,1248
FBgn0029947,FBtr0071054,X,+,1091
FBgn0029948,FBtr0071055,X,+,721
FBgn0029949,FBtr0071063,X,-,1477
FBgn0029950,FBtr0071057,X,+,2557
FBgn0029951,FBtr0071067,X,+,2478
FBgn0029952,FBtr0071081,X,-,769
FBgn0029955,FBtr0300836,X,-,1997
FBgn0029957,FBtr0071071,X,+,2688
FBgn0029958,FBtr0071076,X,-,2170
FBgn0029959,FBtr0071072,X,+,1406
FBgn0029961,FBtr0071075,X,+,1845
FBgn0029962,FBtr0300019,X,+,3875
FBgn0029963,FBtr0071150,X,-,1764
FBgn0029964,FBtr0273372,X,+,622
FBgn0029965,FBtr0336957,X,-,1968
FBgn0029966,FBtr0071087,X,+,2358
FBgn0029968,FBtr0479745,X,+,1824
FBgn0029969,FBtr0345982,X,-,1656
FBgn0029970,FBtr0071142,X,-,2581
FBgn0029971,FBtr0071141,X,-,720
FBgn0029974,FBtr0307270,X,-,3912
FBgn0029975,FBtr0071091,X,+,1705
FBgn0029976,FBtr0071092,X,+,5250
FBgn0029977,FBtr0071133,X,-,1461
FBgn0029979,FBtr0071132,X,-,8365
FBgn0029980,FBtr0071131,X,-,1365
FBgn0029986,FBtr0071127,X,-,2003
FBgn0029987,FBtr0071099,X,+,639
FBgn0029989,FBtr0071124,X,-,1823
FBgn0029990,FBtr0071123,X,-,1480
FBgn0029992,FBtr0071117,X,-,5078
FBgn0029993,FBtr0071106,X,+,2301
FBgn0029994,FBtr0071116,X,-,1404
FBgn0029995,FBtr0301736,X,-,1146
FBgn0029996,FBtr0071112,X,-,3083
FBgn0029997,FBtr0071110,X,-,6281
FBgn0029999,FBtr0071151,X,+,2119
FBgn0030000,FBtr0071194,X,-,2004
FBgn0030001,FBtr0340160,X,-,2884
FBgn0030003,FBtr0071152,X,+,1972
FBgn0030004,FBtr0071153,X,+,2683
FBgn0030005,FBtr0300914,X,+,1155
FBgn0030006,FBtr0071191,X,-,1286
FBgn0030007,FBtr0071190,X,-,1699
FBgn0030008,FBtr0071155,X,+,2017
FBgn0030009,FBtr0331613,X,+,757
FBgn0030010,FBtr0071157,X,+,1836
FBgn0030011,FBtr0071189,X,-,1545
FBgn0030012,FBtr0071158,X,+,1586
FBgn0030013,FBtr0303457,X,+,1543
FBgn0030014,FBtr0071160,X,+,1430
FBgn0030015,FBtr0071187,X,-,1253
FBgn0030016,FBtr0071186,X,-,1242
FBgn0030017,FBtr0340143,X,-,4294
FBgn0030018,FBtr0303843,X,-,5615
FBgn0030025,FBtr0071166,X,+,746
FBgn0030026,FBtr0071183,X,-,1761
FBgn0030027,FBtr0071170,X,+,4268
FBgn0030028,FBtr0307283,X,-,1216
FBgn0030029,FBtr0071178,X,-,948
FBgn0030030,FBtr0339834,X,+,2373
FBgn0030033,FBtr0071173,X,+,3426
FBgn0030034,FBtr0071174,X,+,5188
FBgn0030035,FBtr0071175,X,-,2521
FBgn0030037,FBtr0071246,X,-,3773
FBgn0030038,FBtr0071197,X,+,2606
FBgn0030039,FBtr0071245,X,-,1044
FBgn0030040,FBtr0071242,X,-,968
FBgn0030041,FBtr0071240,X,-,1570
FBgn0030048,FBtr0331727,X,-,1117
FBgn0030049,FBtr0071213,X,+,7452
FBgn0030050,FBtr0331726,X,-,675
FBgn0030051,FBtr0071231,X,-,1656
FBgn0030052,FBtr0071214,X,+,2853
FBgn0030053,FBtr0071218,X,+,1964
FBgn0030054,FBtr0071228,X,-,4043
FBgn0030055,FBtr0071221,X,+,3278
FBgn0030056,FBtr0345984,X,+,2543
FBgn0030057,FBtr0071225,X,-,1314
FBgn0030058,FBtr0331456,X,-,1291
FBgn0030060,FBtr0332960,X,-,2028
FBgn0030061,FBtr0071250,X,+,1885
FBgn0030063,FBtr0071251,X,+,860
FBgn0030065,FBtr0307271,X,+,4917
FBgn0030066,FBtr0333606,X,-,1711
FBgn0030067,FBtr0071255,X,+,1535
FBgn0030071,FBtr0333603,X,-,800
FBgn0030073,FBtr0071263,X,-,1074
FBgn0030074,FBtr0071264,X,-,682
FBgn0030077,FBtr0339680,X,-,3481
FBgn0030078,FBtr0346175,X,-,1810
FBgn0030081,FBtr0071353,X,-,2043
FBgn0030082,FBtr0071284,X,+,1598
FBgn0030085,FBtr0071288,X,+,875
FBgn0030086,FBtr0071289,X,+,2121
FBgn0030087,FBtr0071351,X,-,5177
FBgn0030088,FBtr0071293,X,+,1101
FBgn0030089,FBtr0071294,X,+,5497
FBgn0030090,FBtr0333304,X,-,5133
FBgn0030091,FBtr0071299,X,+,4267
FBgn0030092,FBtr0071348,X,-,923
FBgn0030093,FBtr0071300,X,+,2668
FBgn0030096,FBtr0071342,X,-,1853
FBgn0030097,FBtr0071341,X,-,869
FBgn0030098,FBtr0071304,X,+,892
FBgn0030099,FBtr0071305,X,+,952
FBgn0030100,FBtr0071306,X,+,1372
FBgn0030101,FBtr0071339,X,-,1277
FBgn0030102,FBtr0071336,X,-,2401
FBgn0030103,FBtr0071307,X,+,597
FBgn0030104,FBtr0071308,X,+,756
FBgn0030105,FBtr0071309,X,+,542
FBgn0030107,FBtr0071310,X,+,1252
FBgn0030108,FBtr0071311,X,+,1509
FBgn0030109,FBtr0071334,X,-,2954
FBgn0030114,FBtr0071315,X,+,3415
FBgn0030116,FBtr0304143,X,-,1305
FBgn0030117,FBtr0071318,X,+,636
FBgn0030120,FBtr0071328,X,-,1300
FBgn0030121,FBtr0071327,X,-,2404
FBgn0030122,FBtr0071319,X,+,1888
FBgn0030136,FBtr0071360,X,+,972
FBgn0030137,FBtr0071371,X,-,825
FBgn0030141,FBtr0071363,X,+,2360
FBgn0030148,FBtr0346168,X,-,2589
FBgn0030151,FBtr0089383,X,+,1852
FBgn0030156,FBtr0071397,X,-,2108
FBgn0030157,FBtr0071388,X,+,735
FBgn0030158,FBtr0071389,X,+,666
FBgn0030159,FBtr0340682,X,+,1655
FBgn0030160,FBtr0071391,X,+,603
FBgn0030161,FBtr0343032,X,-,1424
FBgn0030162,FBtr0343031,X,-,2167
FBgn0030163,FBtr0071429,X,-,1193
FBgn0030164,FBtr0112969,X,+,1490
FBgn0030167,FBtr0112970,X,-,1843
FBgn0030170,FBtr0071415,X,+,3683
FBgn0030174,FBtr0071423,X,-,3725
FBgn0030177,FBtr0071430,X,+,1838
FBgn0030178,FBtr0290234,X,-,1200
FBgn0030181,FBtr0112973,X,+,1107
FBgn0030183,FBtr0332900,X,-,3758
FBgn0030186,FBtr0071486,X,-,1358
FBgn0030187,FBtr0071484,X,-,1938
FBgn0030189,FBtr0071441,X,+,2018
FBgn0030191,FBtr0071471,X,-,1609
FBgn0030195,FBtr0071445,X,+,1255
FBgn0030196,FBtr0333306,X,-,2380
FBgn0030200,FBtr0071448,X,+,791
FBgn0030202,FBtr0071464,X,-,348
FBgn0030204,FBtr0071462,X,-,1179
FBgn0030206,FBtr0071450,X,+,2246
FBgn0030207,FBtr0071459,X,-,1234
FBgn0030208,FBtr0071451,X,+,2576
FBgn0030215,FBtr0071512,X,-,690
FBgn0030217,FBtr0071491,X,+,2782
FBgn0030218,FBtr0310444,X,-,2029
FBgn0030221,FBtr0071507,X,-,871
FBgn0030222,FBtr0071506,X,-,2914
FBgn0030223,FBtr0071492,X,+,2805
FBgn0030224,FBtr0071504,X,-,1034
FBgn0030228,FBtr0071497,X,+,3435
FBgn0030230,FBtr0071502,X,-,3997
FBgn0030234,FBtr0112976,X,+,1424
FBgn0030237,FBtr0073378,X,+,791
FBgn0030239,FBtr0073379,X,+,847
FBgn0030240,FBtr0073380,X,+,3363
FBgn0030241,FBtr0073410,X,-,2424
FBgn0030242,FBtr0346273,X,-,2414
FBgn0030243,FBtr0073381,X,+,7312
FBgn0030244,FBtr0073382,X,+,1004
FBgn0030245,FBtr0073407,X,-,5007
FBgn0030246,FBtr0339768,X,-,4243
FBgn0030247,FBtr0339767,X,+,1780
FBgn0030251,FBtr0073387,X,+,2045
FBgn0030257,FBtr0073390,X,+,2446
FBgn0030258,FBtr0346272,X,-,1060
FBgn0030259,FBtr0299600,X,-,717
FBgn0030260,FBtr0073394,X,-,869
FBgn0030261,FBtr0346297,X,+,900
FBgn0030262,FBtr0073427,X,+,796
FBgn0030263,FBtr0346280,X,+,1491
FBgn0030266,FBtr0073481,X,-,12204
FBgn0030268,FBtr0073479,X,-,5150
FBgn0030269,FBtr0073437,X,+,1831
FBgn0030270,FBtr0307189,X,-,664
FBgn0030271,FBtr0073438,X,+,863
FBgn0030272,FBtr0073439,X,+,489
FBgn0030274,FBtr0343038,X,+,2656
FBgn0030276,FBtr0073441,X,+,3811
FBgn0030277,FBtr0346269,X,-,868
FBgn0030278,FBtr0073445,X,+,546
FBgn0030280,FBtr0073446,X,+,559
FBgn0030283,FBtr0073447,X,+,650
FBgn0030286,FBtr0073448,X,+,5830
FBgn0030289,FBtr0290227,X,-,3430
FBgn0030290,FBtr0073450,X,+,746
FBgn0030291,FBtr0073451,X,+,799
FBgn0030292,FBtr0073452,X,+,477
FBgn0030293,FBtr0073453,X,+,4519
FBgn0030296,FBtr0300849,X,+,1587
FBgn0030297,FBtr0073550,X,-,1251
FBgn0030298,FBtr0346792,X,-,2819
FBgn0030300,FBtr0073497,X,+,2852
FBgn0030301,FBtr0073500,X,+,3887
FBgn0030304,FBtr0073503,X,+,2632
FBgn0030305,FBtr0073505,X,+,1432
FBgn0030306,FBtr0340293,X,+,1188
FBgn0030307,FBtr0073545,X,-,5028
FBgn0030309,FBtr0339693,X,-,1291
FBgn0030310,FBtr0073509,X,+,1018
FBgn0030311,FBtr0073510,X,+,760
FBgn0030313,FBtr0073511,X,+,934
FBgn0030314,FBtr0073512,X,+,2235
FBgn0030316,FBtr0073513,X,+,1800
FBgn0030317,FBtr0073539,X,-,2160
FBgn0030318,FBtr0073519,X,+,2345
FBgn0030319,FBtr0073537,X,-,772
FBgn0030320,FBtr0073536,X,-,3767
FBgn0030321,FBtr0343647,X,+,3059
FBgn0030323,FBtr0073532,X,-,1246
FBgn0030326,FBtr0073531,X,-,913
FBgn0030327,FBtr0073620,X,-,2795
FBgn0030328,FBtr0073619,X,-,4444
FBgn0030329,FBtr0303334,X,+,2073
FBgn0030330,FBtr0073552,X,+,3247
FBgn0030331,FBtr0112979,X,+,2494
FBgn0030332,FBtr0073613,X,-,1035
FBgn0030334,FBtr0346276,X,+,2730
FBgn0030336,FBtr0339749,X,-,4720
FBgn0030338,FBtr0073606,X,-,484
FBgn0030339,FBtr0073565,X,+,1665
FBgn0030340,FBtr0303268,X,-,3265
FBgn0030341,FBtr0073604,X,-,1541
FBgn0030342,FBtr0073602,X,-,2117
FBgn0030343,FBtr0273257,X,+,5157
FBgn0030344,FBtr0073601,X,-,4054
FBgn0030345,FBtr0073567,X,+,1776
FBgn0030346,FBtr0073600,X,-,1481
FBgn0030347,FBtr0073569,X,+,1529
FBgn0030348,FBtr0331589,X,-,1491
FBgn0030349,FBtr0308070,X,-,5037
FBgn0030350,FBtr0073570,X,+,827
FBgn0030351,FBtr0073571,X,+,719
FBgn0030352,FBtr0346165,X,+,1385
FBgn0030354,FBtr0073596,X,-,5187
FBgn0030356,FBtr0073593,X,-,654
FBgn0030357,FBtr0331748,X,-,2076
FBgn0030358,FBtr0073590,X,-,3776
FBgn0030359,FBtr0073581,X,-,2344
FBgn0030360,FBtr0073574,X,+,1648
FBgn0030361,FBtr0346737,X,-,2289
FBgn0030362,FBtr0073575,X,+,1708
FBgn0030364,FBtr0073621,X,+,1251
FBgn0030365,FBtr0073622,X,+,1620
FBgn0030366,FBtr0073641,X,-,5642
FBgn0030367,FBtr0073640,X,-,1523
FBgn0030369,FBtr0073623,X,+,1885
FBgn0030370,FBtr0073638,X,-,1298
FBgn0030373,FBtr0073637,X,-,811
FBgn0030374,FBtr0300835,X,-,489
FBgn0030375,FBtr0073635,X,-,777
FBgn0030376,FBtr0300918,X,+,5849
FBgn0030377,FBtr0073634,X,-,2187
FBgn0030384,FBtr0073643,X,+,1331
FBgn0030385,FBtr0336964,X,-,1980
FBgn0030386,FBtr0073644,X,+,896
FBgn0030389,FBtr0346299,X,+,955
FBgn0030390,FBtr0073670,X,-,1180
FBgn0030391,FBtr0339841,X,-,1725
FBgn0030394,FBtr0073650,X,+,1326
FBgn0030395,FBtr0073667,X,-,2203
FBgn0030396,FBtr0073652,X,+,2304
FBgn0030398,FBtr0073653,X,+,818
FBgn0030400,FBtr0331718,X,-,5853
FBgn0030403,FBtr0073658,X,-,2509
FBgn0030406,FBtr0073657,X,-,1585
FBgn0030407,FBtr0073655,X,+,2123
FBgn0030408,FBtr0073656,X,+,1544
FBgn0030409,FBtr0307897,X,+,1302
FBgn0030410,FBtr0073709,X,-,1207
FBgn0030411,FBtr0073675,X,+,1234
FBgn0030412,FBtr0307898,X,+,6345
FBgn0030417,FBtr0073685,X,+,2853
FBgn0030418,FBtr0346128,X,+,4610
FBgn0030420,FBtr0346120,X,-,2970
FBgn0030421,FBtr0073688,X,+,3904
FBgn0030425,FBtr0305591,X,+,2572
FBgn0030429,FBtr0073699,X,-,2035
FBgn0030431,FBtr0073696,X,-,1423
FBgn0030432,FBtr0073694,X,-,1696
FBgn0030433,FBtr0073691,X,+,774
FBgn0030434,FBtr0073693,X,-,1323
FBgn0030435,FBtr0073692,X,+,1694
FBgn0030437,FBtr0073753,X,-,2618
FBgn0030438,FBtr0305600,X,+,2804
FBgn0030439,FBtr0073752,X,-,1359
FBgn0030440,FBtr0309878,X,-,747
FBgn0030441,FBtr0073717,X,+,752
FBgn0030443,FBtr0343602,X,-,2107
FBgn0030447,FBtr0340301,X,+,1224
FBgn0030449,FBtr0073745,X,-,751
FBgn0030451,FBtr0344608,X,+,3649
FBgn0030452,FBtr0339678,X,+,3789
FBgn0030455,FBtr0301690,X,-,1464
FBgn0030456,FBtr0073726,X,+,2256
FBgn0030457,FBtr0073727,X,+,3195
FBgn0030459,FBtr0073738,X,-,2113
FBgn0030460,FBtr0073737,X,-,1347
FBgn0030462,FBtr0073733,X,-,1069
FBgn0030465,FBtr0346123,X,+,1959
FBgn0030466,FBtr0073756,X,+,6261
FBgn0030467,FBtr0339946,X,-,1780
FBgn0030468,FBtr0073757,X,+,1998
FBgn0030474,FBtr0073766,X,+,2626
FBgn0030477,FBtr0073768,X,+,1282
FBgn0030478,FBtr0073769,X,+,3058
FBgn0030479,FBtr0339838,X,-,3330
FBgn0030480,FBtr0073775,X,+,516
FBgn0030481,FBtr0073776,X,+,1770
FBgn0030482,FBtr0073777,X,+,2510
FBgn0030483,FBtr0073788,X,-,1025
FBgn0030484,FBtr0073778,X,+,1220
FBgn0030485,FBtr0301560,X,-,1933
FBgn0030486,FBtr0073779,X,+,7583
FBgn0030492,FBtr0073782,X,+,1001
FBgn0030493,FBtr0073783,X,+,1369
FBgn0030494,FBtr0073784,X,+,858
FBgn0030495,FBtr0331736,X,-,2049
FBgn0030499,FBtr0345128,X,+,3279
FBgn0030500,FBtr0073850,X,-,2200
FBgn0030501,FBtr0073806,X,+,977
FBgn0030502,FBtr0073849,X,-,3138
FBgn0030503,FBtr0308644,X,+,1622
FBgn0030504,FBtr0340191,X,-,4545
FBgn0030505,FBtr0073808,X,+,10064
FBgn0030506,FBtr0073847,X,-,3040
FBgn0030507,FBtr0073809,X,+,1488
FBgn0030508,FBtr0073810,X,+,4588
FBgn0030509,FBtr0073811,X,+,919
FBgn0030510,FBtr0073846,X,-,1907
FBgn0030511,FBtr0073812,X,+,1608
FBgn0030512,FBtr0073844,X,-,4612
FBgn0030514,FBtr0073843,X,-,3113
FBgn0030518,FBtr0331708,X,+,948
FBgn0030519,FBtr0073819,X,+,1104
FBgn0030520,FBtr0112981,X,-,3431
FBgn0030521,FBtr0346091,X,-,1594
FBgn0030522,FBtr0479736,X,+,923
FBgn0030524,FBtr0073837,X,-,715
FBgn0030525,FBtr0073836,X,-,1250
FBgn0030528,FBtr0073827,X,+,1121
FBgn0030529,FBtr0073835,X,-,1839
FBgn0030530,FBtr0340292,X,-,2938
FBgn0030536,FBtr0073854,X,+,1270
FBgn0030537,FBtr0073868,X,+,1954
FBgn0030538,FBtr0089267,X,-,1084
FBgn0030539,FBtr0073891,X,+,774
FBgn0030540,FBtr0073892,X,+,1534
FBgn0030541,FBtr0073893,X,+,2197
FBgn0030542,FBtr0100281,X,+,589
FBgn0030543,FBtr0114508,X,+,1165
FBgn0030544,FBtr0343144,X,-,645
FBgn0030545,FBtr0073899,X,+,730
FBgn0030551,FBtr0073926,X,-,1172
FBgn0030552,FBtr0073902,X,+,1399
FBgn0030554,FBtr0339437,X,+,2037
FBgn0030555,FBtr0073923,X,-,2894
FBgn0030556,FBtr0073922,X,-,2243
FBgn0030558,FBtr0073908,X,+,2509
FBgn0030559,FBtr0299543,X,-,1367
FBgn0030562,FBtr0073920,X,-,1156
FBgn0030563,FBtr0073919,X,-,907
FBgn0030566,FBtr0073915,X,+,1012
FBgn0030569,FBtr0073916,X,-,3684
FBgn0030570,FBtr0073929,X,+,772
FBgn0030571,FBtr0073930,X,+,911
FBgn0030572,FBtr0073945,X,-,641
FBgn0030573,FBtr0073933,X,+,864
FBgn0030574,FBtr0073944,X,-,3574
FBgn0030575,FBtr0343596,X,+,1780
FBgn0030576,FBtr0073939,X,-,2705
FBgn0030577,FBtr0073935,X,+,992
FBgn0030578,FBtr0073936,X,+,1210
FBgn0030581,FBtr0340466,X,-,3702
FBgn0030582,FBtr0300432,X,+,3433
FBgn0030583,FBtr0073948,X,+,606
FBgn0030584,FBtr0073989,X,-,668
FBgn0030586,FBtr0073987,X,-,2085
FBgn0030587,FBtr0073986,X,-,2191
FBgn0030588,FBtr0073985,X,-,2265
FBgn0030589,FBtr0073984,X,-,2034
FBgn0030590,FBtr0073983,X,-,3952
FBgn0030592,FBtr0073980,X,-,3099
FBgn0030593,FBtr0343381,X,-,2221
FBgn0030594,FBtr0073978,X,-,2980
FBgn0030595,FBtr0073977,X,-,667
FBgn0030596,FBtr0073976,X,-,1979
FBgn0030597,FBtr0073975,X,-,2045
FBgn0030598,FBtr0073974,X,-,2524
FBgn0030599,FBtr0303295,X,-,815
FBgn0030600,FBtr0346087,X,-,16734
FBgn0030603,FBtr0073958,X,+,2514
FBgn0030605,FBtr0340425,X,+,1129
FBgn0030607,FBtr0073961,X,+,1855
FBgn0030608,FBtr0346060,X,-,4598
FBgn0030610,FBtr0073966,X,-,521
FBgn0030611,FBtr0073965,X,-,602
FBgn0030612,FBtr0073964,X,+,1872
FBgn0030613,FBtr0307210,X,+,8719
FBgn0030614,FBtr0074029,X,-,585
FBgn0030615,FBtr0074028,X,-,2288
FBgn0030616,FBtr0074027,X,-,1296
FBgn0030617,FBtr0074026,X,-,5367
FBgn0030620,FBtr0073999,X,+,1082
FBgn0030622,FBtr0074024,X,-,1040
FBgn0030623,FBtr0074023,X,-,1055
FBgn0030624,FBtr0074021,X,-,1298
FBgn0030625,FBtr0340433,X,+,3838
FBgn0030628,FBtr0074020,X,-,2315
FBgn0030629,FBtr0074019,X,-,1592
FBgn0030630,FBtr0074018,X,-,1616
FBgn0030631,FBtr0074011,X,+,4251
FBgn0030634,FBtr0074012,X,-,4688
FBgn0030638,FBtr0074031,X,+,1720
FBgn0030640,FBtr0308830,X,+,3153
FBgn0030641,FBtr0074032,X,+,3018
FBgn0030642,FBtr0074076,X,-,1489
FBgn0030643,FBtr0074035,X,+,413
FBgn0030645,FBtr0074036,X,+,696
FBgn0030647,FBtr0074037,X,+,3584
FBgn0030648,FBtr0074040,X,+,3154
FBgn0030653,FBtr0074045,X,+,1377
FBgn0030654,FBtr0074072,X,-,1692
FBgn0030655,FBtr0074071,X,-,2342
FBgn0030657,FBtr0089702,X,-,1141
FBgn0030658,FBtr0074046,X,+,1653
FBgn0030659,FBtr0074066,X,-,1945
FBgn0030660,FBtr0074047,X,+,1903
FBgn0030661,FBtr0074048,X,+,1569
FBgn0030662,FBtr0340347,X,-,3912
FBgn0030663,FBtr0074050,X,+,770
FBgn0030664,FBtr0074051,X,+,735
FBgn0030665,FBtr0074062,X,-,2044
FBgn0030666,FBtr0074052,X,+,1702
FBgn0030667,FBtr0347265,X,-,3692
FBgn0030668,FBtr0074053,X,+,1820
FBgn0030669,FBtr0074060,X,-,991
FBgn0030670,FBtr0074058,X,-,1652
FBgn0030671,FBtr0074054,X,+,1496
FBgn0030672,FBtr0074057,X,-,3267
FBgn0030673,FBtr0339683,X,+,1611
FBgn0030674,FBtr0074082,X,+,16799
FBgn0030675,FBtr0074083,X,+,1486
FBgn0030676,FBtr0273278,X,-,618
FBgn0030678,FBtr0074202,X,-,1462
FBgn0030679,FBtr0074085,X,+,1188
FBgn0030680,FBtr0074201,X,-,4350
FBgn0030683,FBtr0074087,X,+,2055
FBgn0030684,FBtr0074088,X,+,1367
FBgn0030685,FBtr0074194,X,-,4485
FBgn0030686,FBtr0074090,X,+,1243
FBgn0030687,FBtr0300811,X,+,4420
FBgn0030688,FBtr0074193,X,-,902
FBgn0030691,FBtr0074192,X,-,2559
FBgn0030692,FBtr0074094,X,+,2078
FBgn0030693,FBtr0074185,X,-,1817
FBgn0030694,FBtr0340114,X,+,1342
FBgn0030695,FBtr0074183,X,-,2073
FBgn0030696,FBtr0074098,X,+,1393
FBgn0030697,FBtr0074103,X,+,2646
FBgn0030699,FBtr0074104,X,+,1883
FBgn0030700,FBtr0074105,X,+,1422
FBgn0030701,FBtr0074114,X,+,4117
FBgn0030703,FBtr0074166,X,-,1503
FBgn0030704,FBtr0074117,X,+,959
FBgn0030706,FBtr0074125,X,+,7733
FBgn0030707,FBtr0301232,X,+,2019
FBgn0030710,FBtr0074130,X,+,2575
FBgn0030711,FBtr0342745,X,+,1285
FBgn0030715,FBtr0074133,X,+,1257
FBgn0030716,FBtr0346191,X,-,4399
FBgn0030717,FBtr0074134,X,+,1454
FBgn0030718,FBtr0340417,X,-,1336
FBgn0030719,FBtr0074147,X,-,3203
FBgn0030720,FBtr0074138,X,+,2622
FBgn0030721,FBtr0074139,X,+,1906
FBgn0030722,FBtr0074260,X,-,997
FBgn0030723,FBtr0074206,X,+,2630
FBgn0030724,FBtr0343595,X,-,1543
FBgn0030725,FBtr0074207,X,+,2006
FBgn0030729,FBtr0290087,X,-,1096
FBgn0030731,FBtr0074209,X,+,2262
FBgn0030733,FBtr0074216,X,+,523
FBgn0030734,FBtr0074244,X,-,1745
FBgn0030735,FBtr0112988,X,+,4355
FBgn0030738,FBtr0336976,X,-,3003
FBgn0030739,FBtr0336975,X,+,3558
FBgn0030740,FBtr0074237,X,-,1801
FBgn0030742,FBtr0074236,X,-,1647
FBgn0030743,FBtr0333302,X,-,985
FBgn0030744,FBtr0074310,X,-,1768
FBgn0030745,FBtr0074268,X,+,2236
FBgn0030746,FBtr0074304,X,-,4100
FBgn0030747,FBtr0308605,X,+,6107
FBgn0030748,FBtr0074273,X,+,2356
FBgn0030749,FBtr0334040,X,-,2976
FBgn0030752,FBtr0343350,X,-,1820
FBgn0030753,FBtr0074278,X,+,2336
FBgn0030756,FBtr0074297,X,-,1628
FBgn0030757,FBtr0334035,X,-,5059
FBgn0030759,FBtr0074282,X,+,1058
FBgn0030761,FBtr0074289,X,-,3424
FBgn0030763,FBtr0074288,X,-,1406
FBgn0030764,FBtr0074287,X,-,1499
FBgn0030766,FBtr0074314,X,+,5083
FBgn0030768,FBtr0074376,X,-,1729
FBgn0030769,FBtr0290216,X,-,1358
FBgn0030770,FBtr0074373,X,-,681
FBgn0030773,FBtr0074364,X,-,964
FBgn0030774,FBtr0074363,X,-,1263
FBgn0030775,FBtr0339830,X,-,978
FBgn0030776,FBtr0074321,X,+,895
FBgn0030777,FBtr0074361,X,-,813
FBgn0030778,FBtr0300034,X,+,2325
FBgn0030780,FBtr0074322,X,+,2996
FBgn0030786,FBtr0074330,X,+,973
FBgn0030787,FBtr0074356,X,-,1834
FBgn0030788,FBtr0344089,X,+,1994
FBgn0030789,FBtr0344090,X,-,1647
FBgn0030790,FBtr0074332,X,+,3669
FBgn0030791,FBtr0074353,X,-,2747
FBgn0030792,FBtr0074333,X,+,942
FBgn0030793,FBtr0074352,X,-,1329
FBgn0030794,FBtr0074334,X,+,2027
FBgn0030795,FBtr0074335,X,+,2190
FBgn0030796,FBtr0074336,X,+,3457
FBgn0030797,FBtr0074351,X,-,2394
FBgn0030798,FBtr0074349,X,-,6193
FBgn0030799,FBtr0074339,X,+,1283
FBgn0030800,FBtr0074348,X,-,1707
FBgn0030801,FBtr0074341,X,+,1393
FBgn0030802,FBtr0074347,X,-,761
FBgn0030803,FBtr0310519,X,+,1700
FBgn0030804,FBtr0074343,X,+,639
FBgn0030805,FBtr0342974,X,-,2118
FBgn0030806,FBtr0074417,X,-,1786
FBgn0030807,FBtr0074416,X,-,508
FBgn0030808,FBtr0110990,X,+,6046
FBgn0030809,FBtr0346190,X,-,7096
FBgn0030812,FBtr0304840,X,-,5734
FBgn0030813,FBtr0074381,X,+,2343
FBgn0030814,FBtr0074382,X,+,1838
FBgn0030815,FBtr0074411,X,-,4356
FBgn0030816,FBtr0074383,X,+,2433
FBgn0030817,FBtr0340358,X,+,2499
FBgn0030823,FBtr0074403,X,-,1630
FBgn0030824,FBtr0074389,X,+,814
FBgn0030826,FBtr0074402,X,-,630
FBgn0030828,FBtr0074393,X,+,1533
FBgn0030829,FBtr0346183,X,+,1121
FBgn0030830,FBtr0114539,X,+,788
FBgn0030832,FBtr0273221,X,-,708
FBgn0030833,FBtr0339780,X,-,4371
FBgn0030834,FBtr0074446,X,-,1071
FBgn0030836,FBtr0339779,X,-,1571
FBgn0030837,FBtr0074444,X,-,677
FBgn0030838,FBtr0339778,X,+,2416
FBgn0030839,FBtr0074431,X,+,2235
FBgn0030840,FBtr0074437,X,-,1875
FBgn0030841,FBtr0074436,X,-,2647
FBgn0030844,FBtr0329827,X,-,2209
FBgn0030846,FBtr0335252,X,+,1875
FBgn0030847,FBtr0074448,X,+,2872
FBgn0030850,FBtr0074487,X,-,3148
FBgn0030851,FBtr0074486,X,-,1260
FBgn0030853,FBtr0074452,X,+,1064
FBgn0030854,FBtr0074484,X,-,1770
FBgn0030855,FBtr0074453,X,+,2647
FBgn0030858,FBtr0074480,X,-,3668
FBgn0030859,FBtr0074479,X,-,2330
FBgn0030863,FBtr0346186,X,-,3544
FBgn0030864,FBtr0074475,X,-,1643
FBgn0030868,FBtr0074474,X,-,531
FBgn0030869,FBtr0310310,X,-,4906
FBgn0030870,FBtr0074462,X,+,1972
FBgn0030871,FBtr0074472,X,-,1224
FBgn0030872,FBtr0074464,X,+,2082
FBgn0030873,FBtr0074471,X,-,1922
FBgn0030874,FBtr0074465,X,+,1309
FBgn0030876,FBtr0303769,X,+,1140
FBgn0030877,FBtr0074544,X,-,2289
FBgn0030878,FBtr0074493,X,+,1543
FBgn0030880,FBtr0074495,X,+,1150
FBgn0030881,FBtr0074494,X,+,1357
FBgn0030882,FBtr0300969,X,+,2838
FBgn0030883,FBtr0074540,X,-,843
FBgn0030884,FBtr0074505,X,+,4182
FBgn0030886,FBtr0074539,X,-,1710
FBgn0030887,FBtr0089574,X,+,3196
FBgn0030889,FBtr0479776,X,+,3592
FBgn0030890,FBtr0343317,X,-,4131
FBgn0030891,FBtr0074510,X,+,2658
FBgn0030892,FBtr0089576,X,-,1643
FBgn0030893,FBtr0074513,X,+,3324
FBgn0030894,FBtr0074528,X,-,2347
FBgn0030895,FBtr0074515,X,+,1518
FBgn0030897,FBtr0074545,X,+,5732
FBgn0030898,FBtr0074591,X,-,947
FBgn0030899,FBtr0074590,X,-,614
