SYMBOL,tau,tissue,current_symbol,submitted_item,validated_id,FBID_KEY,ANNOTATION_SYMBOL,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,NAME,group
CG12325,0.752751802294227,ovary,CG12325,CG12325,FBgn0033557,FBgn0033557,CG12325,2R,10827644,10823405,1,-,"(0.75,0.8]"
CG1233,0.511770052705478,malpighian.tubule,CG1233,CG1233,FBgn0035137,FBgn0035137,CG1233,3L,365681,361472,1,-,"(0.5,0.55]"
CG1234,0.711950291396851,ovary,CG1234,CG1234,FBgn0037489,FBgn0037489,CG1234,3R,7246969,7244232,-1,-,"(0.7,0.75]"
CG12341,0.626711659247449,testis,CG12341,CG12341,FBgn0033550,FBgn0033550,CG12341,2R,10813310,10812157,-1,-,"(0.6,0.65]"
CG12343,0.754748774007931,testis,CG12343,CG12343,FBgn0033556,FBgn0033556,CG12343,2R,10823372,10822400,-1,-,"(0.75,0.8]"
CG12344,0.921046820134491,wing,CG12344,CG12344,FBgn0033558,FBgn0033558,CG12344,2R,10835709,10827430,-1,-,"(0.9,0.95]"
CG12347,0.993782683032164,testis,CG12347,CG12347,FBgn0038558,FBgn0038558,CG12347,3R,17907451,17906445,1,-,"(0.95,1]"
CG12355,0.907038400794473,malpighian.tubule,CG12355,CG12355,FBgn0040805,FBgn0040805,CG12355,3L,15495549,15492964,-1,-,"(0.9,0.95]"
CG1236,0.773337925626187,testis,CG1236,CG1236,FBgn0037370,FBgn0037370,CG1236,3R,5738013,5736748,1,-,"(0.75,0.8]"
CG12362,0.994773392212115,testis,CG12362,CG12362,FBgn0036082,FBgn0036082,CG12362,3L,10414774,10412818,1,-,"(0.95,1]"
CG12374,0.892094362171076,body,CG12374,CG12374,FBgn0033774,FBgn0033774,CG12374,2R,12763825,12762113,1,-,"(0.85,0.9]"
CG12375,0.658345870796705,male.reproductive.glands,CG12375,CG12375,FBgn0031987,FBgn0031987,CG12375,2L,8126890,8125668,-1,-,"(0.65,0.7]"
CG12376,0.99424456384359,testis,CG12376,CG12376,FBgn0033323,FBgn0033323,CG12376,2R,8704502,8701835,1,-,"(0.95,1]"
CG12379,0.739996713666857,testis,CG12379,CG12379,FBgn0030676,FBgn0030676,CG12379,X,15733996,15733222,-1,-,"(0.7,0.75]"
CG12384,0.612583638760535,male.reproductive.glands,CG12384,CG12384,FBgn0033624,FBgn0033624,CG12384,2R,11359176,11357902,-1,-,"(0.6,0.65]"
CG1239,0.802294908155153,trachea,CG1239,CG1239,FBgn0037368,FBgn0037368,CG1239,3R,5734702,5733513,1,-,"(0.8,0.85]"
CG12391,0.722257823327854,trachea,CG12391,CG12391,FBgn0033581,FBgn0033581,CG12391,2R,11150068,11147602,-1,-,"(0.7,0.75]"
CG12395,0.994849934519395,testis,CG12395,CG12395,FBgn0030722,FBgn0030722,CG12395,X,16062898,16061902,-1,-,"(0.95,1]"
CG12398,0.985008262758582,ovary,CG12398,CG12398,FBgn0030596,FBgn0030596,CG12398,X,14913812,14911781,-1,-,"(0.95,1]"
CG12402,0.889849591351126,testis,CG12402,CG12402,FBgn0038202,FBgn0038202,CG12402,3R,14108321,14104488,-1,-,"(0.85,0.9]"
CG12420,0.807752124727761,head,CG12420,CG12420,FBgn0037797,FBgn0037797,CG12420,3R,10223745,10222698,1,-,"(0.8,0.85]"
CG12426,0.988110133704942,testis,CG12426,CG12426,FBgn0039552,FBgn0039552,CG12426,3R,27872390,27871501,-1,-,"(0.95,1]"
CG12438,0.992939688959812,testis,CG12438,CG12438,FBgn0032065,FBgn0032065,CG12438,2L,8753209,8752285,1,-,"(0.95,1]"
CG12439,0.996275155074244,testis,CG12439,CG12439,FBgn0032094,FBgn0032094,CG12439,2L,9077988,9077121,1,-,"(0.95,1]"
CG12446,0.987726346182207,testis,CG12446,CG12446,FBgn0031201,FBgn0031201,CG12446,X,22811935,22809292,-1,-,"(0.95,1]"
CG12448,0.995034240594006,testis,CG12448,CG12448,FBgn0028857,FBgn0028857,CG12448,2L,15942854,15941441,1,-,"(0.95,1]"
CG1246,0.978182126147618,gut,CG1246,CG1246,FBgn0035360,FBgn0035360,CG1246,3L,2650205,2648048,1,-,"(0.95,1]"
CG12464,0.993793893815146,testis,CG12464,CG12464,FBgn0033861,FBgn0033861,CG12464,2R,13609178,13608673,-1,-,"(0.95,1]"
CG12470,0.994663276579124,testis,CG12470,CG12470,FBgn0040371,FBgn0040371,CG12470,X,308935,307684,1,-,"(0.95,1]"
CG12477,0.997895631959391,testis,CG12477,CG12477,FBgn0036809,FBgn0036809,CG12477,3L,18723272,18721893,-1,-,"(0.95,1]"
CG12479,0.995056680788077,testis,CG12479,CG12479,FBgn0040871,FBgn0040871,CG12479,X,14152006,14151579,-1,-,"(0.95,1]"
CG12480,1,testis,CG12480,CG12480,FBgn0030537,FBgn0030537,CG12480,X,14171545,14169592,1,-,"(0.95,1]"
CG12483,0.992874329919334,wing,CG12483,CG12483,FBgn0040688,FBgn0040688,CG12483,3L,98375,97628,-1,-,"(0.95,1]"
CG12490,,antenna,CG12490,CG12490,FBgn0034782,FBgn0034782,CG12490,2R,22836701,22834647,1,-,
CG12493,0.951473766337856,testis,CG12493,CG12493,FBgn0035571,FBgn0035571,CG12493,3L,4753738,4752393,-1,-,"(0.95,1]"
CG12496,0.957891696552795,antenna,CG12496,CG12496,FBgn0040385,FBgn0040385,CG12496,X,2410901,2409365,-1,-,"(0.95,1]"
CG12498,0.995727894282473,testis,CG12498,CG12498,FBgn0040356,FBgn0040356,CG12498,X,2810846,2809881,1,-,"(0.95,1]"
CG12499,0.644614350090243,trachea,CG12499,CG12499,FBgn0038968,FBgn0038968,CG12499,3R,22446587,22440152,-1,-,"(0.6,0.65]"
CG12502,0.977961914187323,head,CG12502,CG12502,FBgn0035171,FBgn0035171,CG12502,3L,871701,865396,1,-,"(0.95,1]"
CG12506,0.996847987670289,testis,CG12506,CG12506,FBgn0031276,FBgn0031276,CG12506,2L,774017,773547,1,-,"(0.95,1]"
CG12507,0.85523362369704,malpighian.tubule,CG12507,CG12507,FBgn0030729,FBgn0030729,CG12507,X,16266537,16265242,-1,-,"(0.85,0.9]"
CG12511,0.99463739551362,testis,CG12511,CG12511,FBgn0031729,FBgn0031729,CG12511,2L,5679499,5678582,1,-,"(0.95,1]"
CG12516,0.995242766136593,testis,CG12516,CG12516,FBgn0039577,FBgn0039577,CG12516,3R,28304605,28303631,-1,-,"(0.95,1]"
CG12517,0.95120509068769,trachea,CG12517,CG12517,FBgn0032311,FBgn0032311,CG12517,2L,10870722,10870167,1,-,"(0.95,1]"
CG12519,0.97995935557997,testis,CG12519,CG12519,FBgn0036872,FBgn0036872,CG12519,3L,19473145,19472491,1,-,"(0.95,1]"
CG12520,0.651440974233744,leg,CG12520,CG12520,FBgn0036324,FBgn0036324,CG12520,3L,12902737,12901247,-1,-,"(0.65,0.7]"
CG12521,0.993589818834579,testis,CG12521,CG12521,FBgn0040816,FBgn0040816,CG12521,3L,11847803,11847383,-1,-,"(0.95,1]"
CG12522,0.956773853746676,testis,CG12522,CG12522,FBgn0036131,FBgn0036131,CG12522,3L,11108732,11108235,1,-,"(0.95,1]"
CG12523,0.877588109249071,testis,CG12523,CG12523,FBgn0036102,FBgn0036102,CG12523,3L,10802350,10801190,1,-,"(0.85,0.9]"
CG12531,0.877940835982203,wing,CG12531,CG12531,FBgn0031064,FBgn0031064,CG12531,X,19730199,19718923,1,-,"(0.85,0.9]"
CG12535,0.619403452078443,malpighian.tubule,CG12535,CG12535,FBgn0029657,FBgn0029657,CG12535,X,3448943,3387944,-1,-,"(0.6,0.65]"
CG12538,1,testis,CG12538,CG12538,FBgn0038157,FBgn0038157,CG12538,3R,13523535,13522951,-1,-,"(0.95,1]"
CG12539,0.661325385155696,wing,CG12539,CG12539,FBgn0030586,FBgn0030586,CG12539,X,14844757,14842617,-1,-,"(0.65,0.7]"
CG12540,0.986489768763289,malpighian.tubule,CG12540,CG12540,FBgn0030570,FBgn0030570,CG12540,X,14497240,14496135,1,-,"(0.95,1]"
CG12541,0.863033362636919,wing,CG12541,CG12541,FBgn0029930,FBgn0029930,CG12541,X,7066052,7021608,-1,-,"(0.85,0.9]"
CG12547,0.395510232099434,ovary,CG12547,CG12547,FBgn0250830,FBgn0250830,CG12547,2R,4788965,4785855,-1,-,"(0.35,0.4]"
CG12560,0.766815383290076,fat.body,CG12560,CG12560,FBgn0031974,FBgn0031974,CG12560,2L,8009477,8008302,-1,-,"(0.75,0.8]"
CG12567,0.557772149558435,wing,CG12567,CG12567,FBgn0039958,FBgn0039958,CG12567,2L,23174484,23161122,-1,-,"(0.55,0.6]"
CG12576,0.53812287737686,body.wall,CG12576,CG12576,FBgn0031190,FBgn0031190,CG12576,X,22482357,22474851,-1,-,"(0.5,0.55]"
CG12581,0.570610394390442,proboscis,CG12581,CG12581,FBgn0037213,FBgn0037213,CG12581,3R,4186751,4174632,1,-,"(0.55,0.6]"
CG12589,0.992935856080684,testis,CG12589,CG12589,FBgn0040684,FBgn0040684,CG12589,3R,5138989,5137057,-1,-,"(0.95,1]"
CG12590,0.996389492754862,testis,CG12590,CG12590,FBgn0037294,FBgn0037294,CG12590,3R,5160901,5159612,1,-,"(0.95,1]"
CG12592,0.795454026795165,ovary,CG12592,CG12592,FBgn0037811,FBgn0037811,CG12592,3R,10340872,10338342,1,-,"(0.75,0.8]"
CG12594,0.932926840643147,wing,CG12594,CG12594,FBgn0037941,FBgn0037941,CG12594,3R,11732479,11721734,1,-,"(0.9,0.95]"
CG12605,0.832550945600473,wing,CG12605,CG12605,FBgn0035481,FBgn0035481,CG12605,3L,3964771,3954251,-1,-,"(0.8,0.85]"
CG12607,0.968355913082832,body,CG12607,CG12607,FBgn0035545,FBgn0035545,CG12607,3L,4448072,4446573,1,-,"(0.95,1]"
CG12608,0.560572980207272,trachea,CG12608,CG12608,FBgn0030630,FBgn0030630,CG12608,X,15344625,15342857,-1,-,"(0.55,0.6]"
CG12609,0.997169634564417,testis,CG12609,CG12609,FBgn0030952,FBgn0030952,CG12609,X,18748306,18746367,-1,-,"(0.95,1]"
CG12617,0.994567142380523,testis,CG12617,CG12617,FBgn0040996,FBgn0040996,CG12617,2L,20295804,20294693,1,-,"(0.95,1]"
CG12620,0.995294883758323,testis,CG12620,CG12620,FBgn0032626,FBgn0032626,CG12620,2L,17089186,17087641,1,-,"(0.95,1]"
CG12637,0.993376767007352,testis,CG12637,CG12637,FBgn0030224,FBgn0030224,CG12637,X,10673466,10672433,-1,-,"(0.95,1]"
CG12640,0.963625872462864,antenna,CG12640,CG12640,FBgn0030202,FBgn0030202,CG12640,X,10432812,10432465,-1,-,"(0.95,1]"
CG12643,0.752865983146687,oenocyte,CG12643,CG12643,FBgn0040942,FBgn0040942,CG12643,X,10265263,10264233,-1,-,"(0.75,0.8]"
CG12645,0.994449061874024,testis,CG12645,CG12645,FBgn0030181,FBgn0030181,CG12645,X,10155009,10153612,1,-,"(0.95,1]"
CG1265,0.63242389112864,testis,CG1265,CG1265,FBgn0035517,FBgn0035517,CG1265,3L,4256053,4254776,1,-,"(0.6,0.65]"
CG12655,0.699761806002546,proboscis,CG12655,CG12655,FBgn0031080,FBgn0031080,CG12655,X,19959403,19958393,-1,-,"(0.65,0.7]"
CG12659,0.833418026740525,trachea,CG12659,CG12659,FBgn0040929,FBgn0040929,CG12659,X,8591729,8590775,-1,-,"(0.8,0.85]"
CG12661,0.983238510212604,testis,CG12661,CG12661,FBgn0030071,FBgn0030071,CG12661,X,8923687,8922888,-1,-,"(0.95,1]"
CG12662,0.804998978636507,head,CG12662,CG12662,FBgn0030074,FBgn0030074,CG12662,X,8984442,8983634,-1,-,"(0.8,0.85]"
CG12672,0.938845385024757,wing,CG12672,CG12672,FBgn0030886,FBgn0030886,CG12672,X,18007606,18005897,-1,-,"(0.9,0.95]"
CG12674,0.977402997854652,testis,CG12674,CG12674,FBgn0031388,FBgn0031388,CG12674,2L,2081286,2079919,1,-,"(0.95,1]"
CG12679,0.994726400568265,testis,CG12679,CG12679,FBgn0031103,FBgn0031103,CG12679,X,20376522,20375764,-1,-,"(0.95,1]"
CG12680,0.995459935042909,testis,CG12680,CG12680,FBgn0029740,FBgn0029740,CG12680,X,4998388,4997441,1,-,"(0.95,1]"
CG12682,0.994494067800815,testis,CG12682,CG12682,FBgn0029729,FBgn0029729,CG12682,X,4826833,4825974,1,-,"(0.95,1]"
CG12684,0.994587880894137,testis,CG12684,CG12684,FBgn0029717,FBgn0029717,CG12684,X,4571929,4570991,-1,-,"(0.95,1]"
CG12688,0.9917213589229,male.reproductive.glands,CG12688,CG12688,FBgn0029707,FBgn0029707,CG12688,X,4382466,4380758,1,-,"(0.95,1]"
CG12689,0.988704022158159,testis,CG12689,CG12689,FBgn0029952,FBgn0029952,CG12689,X,7586131,7585303,-1,-,"(0.95,1]"
CG12691,0.995492115656061,testis,CG12691,CG12691,FBgn0029701,FBgn0029701,CG12691,X,4266669,4266097,1,-,"(0.95,1]"
CG12692,0.996052734617366,testis,CG12692,CG12692,FBgn0029703,FBgn0029703,CG12692,X,4302346,4300117,-1,-,"(0.95,1]"
CG12693,0.992404234397187,testis,CG12693,CG12693,FBgn0029705,FBgn0029705,CG12693,X,4329457,4327080,-1,-,"(0.95,1]"
CG12698,0.979276528877003,testis,CG12698,CG12698,FBgn0030721,FBgn0030721,CG12698,X,16008721,16006147,1,-,"(0.95,1]"
CG12699,0.985974454383592,testis,CG12699,CG12699,FBgn0046294,FBgn0046294,CG12699,2R,17247383,17246530,-1,-,"(0.95,1]"
CG12702,0.900733791698686,testis,CG12702,CG12702,FBgn0031070,FBgn0031070,CG12702,X,19764874,19759173,-1,-,"(0.9,0.95]"
CG12708,0.926764575710762,ovary,CG12708,CG12708,FBgn0030666,FBgn0030666,CG12708,X,15677737,15675476,1,-,"(0.9,0.95]"
CG1271,0.722576430698871,gut,CG1271,CG1271,FBgn0035392,FBgn0035392,CG1271,3L,3054906,3052514,1,-,"(0.7,0.75]"
CG12713,0.849177410510699,testis,CG12713,CG12713,FBgn0036536,FBgn0036536,CG12713,3L,15833947,15832464,1,-,"(0.8,0.85]"
CG12715,0.880230795253965,testis,CG12715,CG12715,FBgn0030443,FBgn0030443,CG12715,X,13055328,13052847,-1,-,"(0.85,0.9]"
CG12716,0.989362170761681,ovary,CG12716,CG12716,FBgn0030439,FBgn0030439,CG12716,X,12976231,12974683,-1,-,"(0.95,1]"
CG12723,0.928782599302028,gut,CG12723,CG12723,FBgn0030459,FBgn0030459,CG12723,X,13191883,13189643,-1,-,"(0.9,0.95]"
CG12725,0.955249400304697,testis,CG12725,CG12725,FBgn0030483,FBgn0030483,CG12725,X,13402863,13401839,-1,-,"(0.95,1]"
CG12728,0.552989375678,wing,CG12728,CG12728,FBgn0029825,FBgn0029825,CG12728,X,5945250,5942606,1,-,"(0.55,0.6]"
CG12729,0.996129788899073,testis,CG12729,CG12729,FBgn0029816,FBgn0029816,CG12729,X,5846106,5845280,1,-,"(0.95,1]"
CG1273,0.881756260630858,testis,CG1273,CG1273,FBgn0035522,FBgn0035522,CG1273,3L,4277778,4263719,1,-,"(0.85,0.9]"
CG12730,0.45431586589897,haltere,CG12730,CG12730,FBgn0029771,FBgn0029771,CG12730,X,5518771,5516608,1,-,"(0.45,0.5]"
CG12744,0.868808545677231,ovary,CG12744,CG12744,FBgn0033459,FBgn0033459,CG12744,2R,9876242,9874889,1,-,"(0.85,0.9]"
CG12746,0.612851371998661,gut,CG12746,CG12746,FBgn0037341,FBgn0037341,CG12746,3R,5567435,5564865,1,-,"(0.6,0.65]"
CG1275,0.777535388422284,trachea,CG1275,CG1275,FBgn0035321,FBgn0035321,CG1275,3L,2257423,2252744,-1,-,"(0.75,0.8]"
CG12766,0.913992213892475,fat.body,CG12766,CG12766,FBgn0035476,FBgn0035476,CG12766,3L,3940125,3938624,-1,-,"(0.9,0.95]"
CG12768,0.66494833589228,heart,CG12768,CG12768,FBgn0037206,FBgn0037206,CG12768,3L,22923532,22910491,1,-,"(0.65,0.7]"
CG12769,0.576708382624051,wing,CG12769,CG12769,FBgn0033252,FBgn0033252,CG12769,2R,8065554,8052080,-1,-,"(0.55,0.6]"
CG12773,0.542854470505992,malpighian.tubule,CG12773,CG12773,FBgn0024365,FBgn0024365,CG12773,X,1353981,1349623,-1,-,"(0.5,0.55]"
CG12780,0.924184502627244,gut,CG12780,CG12780,FBgn0033301,FBgn0033301,CG12780,2R,8552290,8551859,-1,-,"(0.9,0.95]"
CG12782,0.99701252859905,testis,CG12782,CG12782,FBgn0034838,FBgn0034838,CG12782,2R,23265543,23264269,-1,-,"(0.95,1]"
CG12783,0.996655373215796,testis,CG12783,CG12783,FBgn0038448,FBgn0038448,CG12783,3R,16613400,16611419,-1,-,"(0.95,1]"
CG12784,0.99100650460922,testis,CG12784,CG12784,FBgn0038356,FBgn0038356,CG12784,3R,15763551,15763115,1,-,"(0.95,1]"
CG12795,0.646103514644325,trachea,CG12795,CG12795,FBgn0031535,FBgn0031535,CG12795,2L,3453755,3452466,1,-,"(0.6,0.65]"
CG12811,0.60677119435718,ovary,CG12811,CG12811,FBgn0037779,FBgn0037779,CG12811,3R,10048797,10047252,-1,-,"(0.6,0.65]"
CG12814,0.688631292499539,gut,CG12814,CG12814,FBgn0037796,FBgn0037796,CG12814,3R,10189603,10171156,-1,-,"(0.65,0.7]"
CG12817,0.889587747064981,testis,CG12817,CG12817,FBgn0037798,FBgn0037798,CG12817,3R,10224725,10223440,-1,-,"(0.85,0.9]"
CG12818,0.758252613498764,trachea,CG12818,CG12818,FBgn0037809,FBgn0037809,CG12818,3R,10332695,10331581,1,-,"(0.75,0.8]"
CG12822,0.38250877153439,wing,CG12822,CG12822,FBgn0033229,FBgn0033229,CG12822,2R,7833841,7832171,1,-,"(0.35,0.4]"
CG12824,0.881223179706393,gut,CG12824,CG12824,FBgn0033222,FBgn0033222,CG12824,2R,7791170,7790368,1,-,"(0.85,0.9]"
CG12825,0.931801984101346,malpighian.tubule,CG12825,CG12825,FBgn0033221,FBgn0033221,CG12825,2R,7789988,7789206,1,-,"(0.9,0.95]"
CG12826,0.885025303813276,testis,CG12826,CG12826,FBgn0033207,FBgn0033207,CG12826,2R,7671103,7670327,-1,-,"(0.85,0.9]"
CG12828,0.996112514301467,male.reproductive.glands,CG12828,CG12828,FBgn0033145,FBgn0033145,CG12828,2R,7149677,7149174,-1,-,"(0.95,1]"
CG12831,0.980684289705951,testis,CG12831,CG12831,FBgn0033141,FBgn0033141,CG12831,2R,7074152,7070495,-1,-,"(0.95,1]"
CG12836,0.951979788644277,antenna,CG12836,CG12836,FBgn0033140,FBgn0033140,CG12836,2R,7069896,7068572,1,-,"(0.95,1]"
CG12848,0.641509261869675,testis,CG12848,CG12848,FBgn0040666,FBgn0040666,CG12848,2R,24763094,24762566,-1,-,"(0.6,0.65]"
CG12849,1,testis,CG12849,CG12849,FBgn0035068,FBgn0035068,CG12849,2R,24798613,24797925,1,-,"(0.95,1]"
CG12851,0.850766336134099,heart,CG12851,CG12851,FBgn0035086,FBgn0035086,CG12851,2R,24955677,24948645,1,-,"(0.85,0.9]"
CG12853,0.989146531957993,testis,CG12853,CG12853,FBgn0040747,FBgn0040747,CG12853,2R,14933913,14933515,1,-,"(0.95,1]"
CG12857,0.990489839384525,testis,CG12857,CG12857,FBgn0033963,FBgn0033963,CG12857,2R,14759602,14757907,-1,-,"(0.95,1]"
CG12860,0.9918101015044,testis,CG12860,CG12860,FBgn0033954,FBgn0033954,CG12860,2R,14666817,14665641,-1,-,"(0.95,1]"
CG12861,0.992669765423462,testis,CG12861,CG12861,FBgn0033953,FBgn0033953,CG12861,2R,14665356,14664246,-1,-,"(0.95,1]"
CG12863,0.583548940050213,trachea,CG12863,CG12863,FBgn0033948,FBgn0033948,CG12863,2R,14621320,14619798,-1,-,"(0.55,0.6]"
CG12868,0.74650900371668,fat.body,CG12868,CG12868,FBgn0033945,FBgn0033945,CG12868,2R,14605297,14604549,-1,-,"(0.7,0.75]"
CG12869,0.851060418251566,testis,CG12869,CG12869,FBgn0033943,FBgn0033943,CG12869,2R,14595617,14591203,1,-,"(0.85,0.9]"
CG12877,0.631367883577923,trachea,CG12877,CG12877,FBgn0039544,FBgn0039544,CG12877,3R,27710857,27707100,1,-,"(0.6,0.65]"
CG1288,0.99337407608742,testis,CG1288,CG1288,FBgn0250845,FBgn0250845,CG1288,3R,7208431,7206652,-1,-,"(0.95,1]"
CG12880,0.917488459486866,trachea,CG12880,CG12880,FBgn0046258,FBgn0046258,CG12880,3R,27692790,27685962,1,-,"(0.9,0.95]"
CG12883,0.719330687928115,trachea,CG12883,CG12883,FBgn0039538,FBgn0039538,CG12883,3R,27680336,27679291,1,-,"(0.7,0.75]"
CG12885,0.815789825281515,antenna,CG12885,CG12885,FBgn0039523,FBgn0039523,CG12885,3R,27533934,27520866,1,-,"(0.8,0.85]"
CG12895,0.549767640745663,trachea,CG12895,CG12895,FBgn0033523,FBgn0033523,CG12895,2R,10437382,10436598,-1,-,"(0.5,0.55]"
CG12896,0.883864310302736,testis,CG12896,CG12896,FBgn0033521,FBgn0033521,CG12896,2R,10427915,10426880,-1,-,"(0.85,0.9]"
CG12898,0.921077402815322,antenna,CG12898,CG12898,FBgn0033516,FBgn0033516,CG12898,2R,10407445,10406975,-1,-,"(0.9,0.95]"
CG12909,0.859276113963452,ovary,CG12909,CG12909,FBgn0033507,FBgn0033507,CG12909,2R,10311143,10310113,1,-,"(0.85,0.9]"
CG12910,0.951983154608551,malpighian.tubule,CG12910,CG12910,FBgn0033502,FBgn0033502,CG12910,2R,10269205,10265057,1,-,"(0.95,1]"
CG12911,0.991455962245534,male.reproductive.glands,CG12911,CG12911,FBgn0033501,FBgn0033501,CG12911,2R,10261276,10256686,1,-,"(0.95,1]"
CG12914,0.993992800762743,testis,CG12914,CG12914,FBgn0033499,FBgn0033499,CG12914,2R,10249404,10247814,1,-,"(0.95,1]"
CG12917,0.970744282729861,testis,CG12917,CG12917,FBgn0033490,FBgn0033490,CG12917,2R,10139267,10137656,1,-,"(0.95,1]"
CG12920,0.977583566874467,malpighian.tubule,CG12920,CG12920,FBgn0033481,FBgn0033481,CG12920,2R,10071067,10069106,1,-,"(0.95,1]"
CG12923,0.984896488597981,testis,CG12923,CG12923,FBgn0033461,FBgn0033461,CG12923,2R,9889485,9887648,1,-,"(0.95,1]"
CG12926,0.841520596854758,male.reproductive.glands,CG12926,CG12926,FBgn0033437,FBgn0033437,CG12926,2R,9610290,9608128,-1,-,"(0.8,0.85]"
CG12929,0.85605940066743,testis,CG12929,CG12929,FBgn0033429,FBgn0033429,CG12929,2R,9586714,9586110,-1,-,"(0.85,0.9]"
CG12934,0.972205352033398,gut,CG12934,CG12934,FBgn0033541,FBgn0033541,CG12934,2R,10649830,10648888,1,-,"(0.95,1]"
CG12935,0.853326056117476,testis,CG12935,CG12935,FBgn0033547,FBgn0033547,CG12935,2R,10810655,10809397,1,-,"(0.85,0.9]"
CG12942,0.738545843056353,trachea,CG12942,CG12942,FBgn0033569,FBgn0033569,CG12942,2R,10897222,10894459,1,-,"(0.7,0.75]"
CG12945,0.475291410612221,trachea,CG12945,CG12945,FBgn0037755,FBgn0037755,CG12945,3R,9791221,9787816,-1,-,"(0.45,0.5]"
CG12947,0.768478444801371,gut,CG12947,CG12947,FBgn0037753,FBgn0037753,CG12947,3R,9783054,9780064,1,-,"(0.75,0.8]"
CG12948,0.636957722784269,haltere,CG12948,CG12948,FBgn0037739,FBgn0037739,CG12948,3R,9747744,9746167,-1,-,"(0.6,0.65]"
CG12951,0.983027641591069,gut,CG12951,CG12951,FBgn0037677,FBgn0037677,CG12951,3R,9330331,9329223,-1,-,"(0.95,1]"
CG12963,0.939484770240404,malpighian.tubule,CG12963,CG12963,FBgn0034031,FBgn0034031,CG12963,2R,15562436,15555446,1,-,"(0.9,0.95]"
CG12964,0.838646232801403,testis,CG12964,CG12964,FBgn0034022,FBgn0034022,CG12964,2R,15497231,15485953,-1,-,"(0.8,0.85]"
CG12971,0.913722946125248,oenocyte,CG12971,CG12971,FBgn0037078,FBgn0037078,CG12971,3L,21356495,21355100,-1,-,"(0.9,0.95]"
CG12974,0.940039584826491,gut,CG12974,CG12974,FBgn0037065,FBgn0037065,CG12974,3L,21285962,21281752,-1,-,"(0.9,0.95]"
CG12983,0.99464395544188,testis,CG12983,CG12983,FBgn0037040,FBgn0037040,CG12983,3L,20966762,20962655,-1,-,"(0.95,1]"
CG12984,0.99001230532522,testis,CG12984,CG12984,FBgn0037042,FBgn0037042,CG12984,3L,20992930,20991673,1,-,"(0.95,1]"
CG12985,0.859472348520578,testis,CG12985,CG12985,FBgn0030881,FBgn0030881,CG12985,X,17885238,17883718,1,-,"(0.85,0.9]"
CG12986,0.975640707573443,antenna,CG12986,CG12986,FBgn0030868,FBgn0030868,CG12986,X,17819685,17819155,-1,-,"(0.95,1]"
CG1299,0.623211632905692,haltere,CG1299,CG1299,FBgn0035501,FBgn0035501,CG1299,3L,4152473,4148696,1,-,"(0.6,0.65]"
CG12990,0.995602762172272,male.reproductive.glands,CG12990,CG12990,FBgn0030859,FBgn0030859,CG12990,X,17671888,17669208,-1,-,"(0.95,1]"
CG12991,0.487406440834622,wing,CG12991,CG12991,FBgn0030847,FBgn0030847,CG12991,X,17599314,17579861,1,-,"(0.45,0.5]"
CG12992,0.833612075518278,testis,CG12992,CG12992,FBgn0030846,FBgn0030846,CG12992,X,17591706,17588865,1,-,"(0.8,0.85]"
CG12994,0.591731690633608,body,CG12994,CG12994,FBgn0040877,FBgn0040877,CG12994,X,17443994,17422320,-1,-,"(0.55,0.6]"
CG12995,0.89630431336449,body.wall,CG12995,CG12995,FBgn0030826,FBgn0030826,CG12995,X,17209997,17209368,-1,-,"(0.85,0.9]"
CG12998,0.861399840303432,heart,CG12998,CG12998,FBgn0030829,FBgn0030829,CG12998,X,17219787,17218667,1,-,"(0.85,0.9]"
CG13000,0.894009940447265,fat.body,CG13000,CG13000,FBgn0030807,FBgn0030807,CG13000,X,16948471,16947964,-1,-,"(0.85,0.9]"
CG13001,0.686373773253971,trachea,CG13001,CG13001,FBgn0030806,FBgn0030806,CG13001,X,16942871,16941086,-1,-,"(0.65,0.7]"
CG13002,0.880968744431373,leg,CG13002,CG13002,FBgn0030804,FBgn0030804,CG13002,X,16890637,16889810,1,-,"(0.85,0.9]"
CG13003,0.655562413085055,leg,CG13003,CG13003,FBgn0030798,FBgn0030798,CG13003,X,16876544,16844807,-1,-,"(0.65,0.7]"
CG13004,0.992248597149301,malpighian.tubule,CG13004,CG13004,FBgn0030797,FBgn0030797,CG13004,X,16835520,16826681,-1,-,"(0.95,1]"
CG13005,0.863244595109192,trachea,CG13005,CG13005,FBgn0030794,FBgn0030794,CG13005,X,16805754,16803650,1,-,"(0.85,0.9]"
CG13008,0.985644493829821,testis,CG13008,CG13008,FBgn0030780,FBgn0030780,CG13008,X,16714372,16711303,1,-,"(0.95,1]"
CG13010,0.995934844924603,testis,CG13010,CG13010,FBgn0030770,FBgn0030770,CG13010,X,16678945,16678265,-1,-,"(0.95,1]"
CG13012,0.639701965460898,leg,CG13012,CG13012,FBgn0030769,FBgn0030769,CG13012,X,16676753,16668818,-1,-,"(0.6,0.65]"
CG13014,0.710974681210554,ovary,CG13014,CG13014,FBgn0030759,FBgn0030759,CG13014,X,16588930,16587873,1,-,"(0.7,0.75]"
CG13016,0.73960288233944,trachea,CG13016,CG13016,FBgn0033899,FBgn0033899,CG13016,2R,14159434,14157762,1,-,"(0.7,0.75]"
