ensembl_id,gene_age,gene_Interval
FBgn0029763,1714,1660-1768
FBgn0032005,1292,1105-1480
FBgn0039465,1488,1480-1496
FBgn0052281,1488,1480-1496
FBgn0033912,>4290,>4290
FBgn0040096,35,34-37
FBgn0040092,91,50-132
FBgn0054033,8,6-11
FBgn0040093,91,50-132
FBgn0029514,91,50-132
FBgn0037094,91,50-132
FBgn0039478,748,743-753
FBgn0004797,1064,1023-1105
FBgn0034913,1292,1105-1480
FBgn0031414,987,952-1023
FBgn0003475,987,952-1023
FBgn0261394,>4290,>4290
FBgn0261395,>4290,>4290
FBgn0032487,1714,1660-1768
FBgn0027291,>4290,>4290
FBgn0034946,950,948-952
FBgn0036784,1292,1105-1480
FBgn0037607,35,34-37
FBgn0259241,35,34-37
FBgn0041188,35,34-37
FBgn0032715,91,50-132
FBgn0051802,810,797-824
FBgn0040010,810,797-824
FBgn0004832,810,797-824
FBgn0032450,>4290,>4290
FBgn0261885,>4290,>4290
FBgn0036386,>4290,>4290
FBgn0028717,>4290,>4290
FBgn0026371,987,952-1023
FBgn0004403,>4290,>4290
FBgn0004404,>4290,>4290
FBgn0260944,22,11-34
FBgn0030479,950,948-952
FBgn0285896,987,952-1023
FBgn0010389,987,952-1023
FBgn0001227,810,797-824
FBgn0011296,810,797-824
FBgn0001225,810,797-824
FBgn0001229,810,797-824
FBgn0001223,91,50-132
FBgn0001224,810,797-824
FBgn0038515,1714,1660-1768
FBgn0261068,1488,1480-1496
FBgn0031074,22,11-34
FBgn0026176,91,50-132
FBgn0026174,22,11-34
FBgn0026175,22,11-34
FBgn0034863,1714,1660-1768
FBgn0025637,1714,1660-1768
FBgn0000536,1714,1660-1768
FBgn0015527,1714,1660-1768
FBgn0038486,1292,1105-1480
FBgn0037440,1292,1105-1480
FBgn0032471,1292,1105-1480
FBgn0037623,1292,1105-1480
FBgn0036500,1292,1105-1480
FBgn0039965,1292,1105-1480
FBgn0022942,1488,1480-1496
FBgn0027106,775,753-797
FBgn0027107,291,272-310
FBgn0024177,91,50-132
FBgn0030989,291,272-310
FBgn0264299,317,310-325
FBgn0020508,317,310-325
FBgn0052679,91,50-132
FBgn0035042,317,310-325
FBgn0260766,317,310-325
FBgn0036072,202,132-272
FBgn0261848,317,310-325
FBgn0050486,317,310-325
FBgn0037888,202,132-272
FBgn0034624,202,132-272
FBgn0264297,317,310-325
FBgn0050488,317,310-325
FBgn0037879,202,132-272
FBgn0034623,317,310-325
FBgn0032853,317,310-325
FBgn0015010,317,310-325
FBgn0036945,317,310-325
FBgn0050296,317,310-325
FBgn0034068,1488,1480-1496
FBgn0030207,886,824-948
FBgn0263106,886,824-948
FBgn0034745,886,824-948
FBgn0030292,886,824-948
FBgn0037703,886,824-948
FBgn0020269,810,797-824
FBgn0038889,810,797-824
FBgn0259742,810,797-824
FBgn0036348,810,797-824
FBgn0003227,1934,1768-2101
FBgn0012051,886,824-948
FBgn0020767,810,797-824
FBgn0265101,810,797-824
FBgn0024987,556,530-583
FBgn0034269,556,530-583
FBgn0037265,556,530-583
FBgn0003862,1292,1105-1480
FBgn0039472,35,34-37
FBgn0039476,556,530-583
FBgn0039471,556,530-583
FBgn0039470,556,530-583
FBgn0032973,556,530-583
FBgn0039475,556,530-583
FBgn0039474,91,50-132
FBgn0039473,35,34-37
FBgn0264979,556,530-583
FBgn0039344,556,530-583
FBgn0284256,1064,1023-1105
FBgn0264561,1064,1023-1105
FBgn0038744,1064,1023-1105
FBgn0053202,556,530-583
FBgn0037993,556,530-583
FBgn0051361,556,530-583
FBgn0037295,556,530-583
FBgn0031907,291,272-310
FBgn0027560,556,530-583
FBgn0031908,291,272-310
FBgn0264326,291,272-310
FBgn0016119,950,948-952
FBgn0035585,22,11-34
FBgn0032219,1292,1105-1480
FBgn0031488,1292,1105-1480
FBgn0036437,1292,1105-1480
FBgn0267435,810,797-824
FBgn0036556,1488,1480-1496
FBgn0037027,886,824-948
FBgn0033884,886,824-948
FBgn0036932,886,824-948
FBgn0034495,886,824-948
FBgn0005658,987,952-1023
FBgn0031690,987,952-1023
FBgn0030346,987,952-1023
FBgn0051997,987,952-1023
FBgn0035812,987,952-1023
FBgn0044826,>4290,>4290
FBgn0038674,>4290,>4290
FBgn0029913,748,743-753
FBgn0036515,748,743-753
FBgn0260943,>4290,>4290
FBgn0034956,91,50-132
FBgn0032170,950,948-952
FBgn0035825,950,948-952
FBgn0031768,950,948-952
FBgn0033571,950,948-952
FBgn0042138,>4290,>4290
FBgn0010194,886,824-948
FBgn0037853,987,952-1023
FBgn0037517,987,952-1023
FBgn0042105,987,952-1023
FBgn0042102,987,952-1023
FBgn0042103,987,952-1023
FBgn0042101,987,952-1023
FBgn0042104,987,952-1023
FBgn0037519,987,952-1023
FBgn0037518,987,952-1023
FBgn0037521,987,952-1023
FBgn0037465,987,952-1023
FBgn0260399,950,948-952
FBgn0013812,592,583-601
FBgn0003890,950,948-952
FBgn0038890,1488,1480-1496
FBgn0014388,1488,1480-1496
FBgn0026872,592,583-601
FBgn0037292,592,583-601
FBgn0029580,592,583-601
FBgn0261380,592,583-601
FBgn0013810,987,952-1023
FBgn0050373,987,952-1023
FBgn0260223,987,952-1023
FBgn0051935,987,952-1023
FBgn0031997,886,824-948
FBgn0015872,950,948-952
FBgn0033401,950,948-952
FBgn0037556,950,948-952
FBgn0031882,>4290,>4290
FBgn0035443,291,272-310
FBgn0039617,556,530-583
FBgn0264574,556,530-583
FBgn0031181,202,132-272
FBgn0051225,202,132-272
FBgn0039079,202,132-272
FBgn0039080,202,132-272
FBgn0243514,202,132-272
FBgn0264954,202,132-272
FBgn0263773,202,132-272
FBgn0263354,202,132-272
FBgn0266696,202,132-272
FBgn0259932,202,132-272
FBgn0039461,202,132-272
FBgn0264005,202,132-272
FBgn0037406,202,132-272
FBgn0052462,202,132-272
FBgn0264340,202,132-272
FBgn0263911,202,132-272
FBgn0053985,202,132-272
FBgn0050364,202,132-272
FBgn0050366,202,132-272
FBgn0031292,202,132-272
FBgn0054040,202,132-272
FBgn0284080,291,272-310
FBgn0267253,291,272-310
FBgn0250836,202,132-272
FBgn0035713,202,132-272
FBgn0259831,202,132-272
FBgn0266175,202,132-272
FBgn0261837,202,132-272
FBgn0266172,202,132-272
FBgn0259192,202,132-272
FBgn0013300,202,132-272
FBgn0013301,202,132-272
FBgn0030836,91,50-132
FBgn0266446,91,50-132
FBgn0040950,91,50-132
FBgn0259236,91,50-132
FBgn0261529,91,50-132
FBgn0262485,202,132-272
FBgn0037012,202,132-272
FBgn0261631,202,132-272
FBgn0025558,202,132-272
FBgn0036600,202,132-272
FBgn0036594,202,132-272
FBgn0263233,202,132-272
FBgn0028567,202,132-272
FBgn0262508,202,132-272
FBgn0259238,202,132-272
FBgn0263029,202,132-272
FBgn0259715,202,132-272
FBgn0004172,202,132-272
FBgn0262899,202,132-272
FBgn0038756,202,132-272
FBgn0053796,22,11-34
FBgn0053795,22,11-34
FBgn0263841,22,11-34
FBgn0085287,35,34-37
FBgn0053710,35,34-37
FBgn0259148,35,34-37
FBgn0085692,35,34-37
FBgn0037013,43,37-50
FBgn0266598,43,37-50
FBgn0051206,43,37-50
FBgn0262530,43,37-50
FBgn0004592,43,37-50
FBgn0014849,22,11-34
FBgn0014850,91,50-132
FBgn0014851,91,50-132
FBgn0262528,91,50-132
FBgn0261681,91,50-132
FBgn0262893,91,50-132
FBgn0036177,22,11-34
FBgn0036176,22,11-34
FBgn0037106,22,11-34
FBgn0086915,35,34-37
FBgn0052580,35,34-37
FBgn0036591,35,34-37
FBgn0263249,35,34-37
FBgn0262894,35,34-37
FBgn0052219,35,34-37
FBgn0037150,35,34-37
FBgn0044047,35,34-37
FBgn0262839,35,34-37
FBgn0262351,35,34-37
FBgn0014163,35,34-37
FBgn0260713,35,34-37
FBgn0262987,35,34-37
FBgn0262482,35,34-37
FBgn0015586,35,34-37
FBgn0052212,22,11-34
FBgn0036872,22,11-34
FBgn0038612,22,11-34
FBgn0264566,22,11-34
FBgn0267489,202,132-272
FBgn0025616,202,132-272
FBgn0053893,91,50-132
FBgn0037169,91,50-132
FBgn0052457,91,50-132
FBgn0037139,91,50-132
FBgn0261832,91,50-132
FBgn0260634,987,952-1023
FBgn0035205,1488,1480-1496
FBgn0036534,1488,1480-1496
FBgn0015828,1488,1480-1496
FBgn0031066,1488,1480-1496
FBgn0261938,1488,1480-1496
FBgn0036820,950,948-952
FBgn0034658,950,948-952
FBgn0032671,886,824-948
FBgn0003607,950,948-952
FBgn0033019,950,948-952
FBgn0027363,1292,1105-1480
FBgn0032907,1292,1105-1480
FBgn0032882,>4290,>4290
FBgn0039636,>4290,>4290
FBgn0033686,>4290,>4290
FBgn0035003,291,272-310
FBgn0038211,91,50-132
FBgn0085200,43,37-50
FBgn0050323,43,37-50
FBgn0051326,91,50-132
FBgn0032961,91,50-132
FBgn0015296,91,50-132
FBgn0014340,1292,1105-1480
FBgn0039585,22,11-34
FBgn0037901,1714,1660-1768
FBgn0015609,748,743-753
FBgn0051793,22,11-34
FBgn0010803,>4290,>4290
FBgn0039139,>4290,>4290
FBgn0037482,>4290,>4290
FBgn0039654,>4290,>4290
FBgn0283680,1292,1105-1480
FBgn0024491,1292,1105-1480
FBgn0036158,91,50-132
FBgn0031245,987,952-1023
FBgn0031244,987,952-1023
FBgn0085387,775,753-797
FBgn0262728,987,952-1023
FBgn0038666,987,952-1023
FBgn0028292,987,952-1023
FBgn0034485,35,34-37
FBgn0259697,35,34-37
FBgn0034962,35,34-37
FBgn0035850,291,272-310
FBgn0025335,291,272-310
FBgn0035392,1488,1480-1496
FBgn0262619,>4290,>4290
FBgn0261014,1488,1480-1496
FBgn0038649,1488,1480-1496
FBgn0261458,1488,1480-1496
FBgn0004924,1488,1480-1496
FBgn0085424,810,797-824
FBgn0004394,810,797-824
FBgn0037530,810,797-824
FBgn0037637,810,797-824
FBgn0015286,987,952-1023
FBgn0030663,22,11-34
FBgn0010422,1488,1480-1496
FBgn0030850,1488,1480-1496
FBgn0086355,1488,1480-1496
FBgn0034614,1488,1480-1496
FBgn0051472,1488,1480-1496
FBgn0030029,91,50-132
FBgn0051473,1488,1480-1496
FBgn0027660,987,952-1023
FBgn0033763,987,952-1023
FBgn0033890,987,952-1023
FBgn0034644,1714,1660-1768
FBgn0032956,987,952-1023
FBgn0011704,987,952-1023
FBgn0039909,1292,1105-1480
FBgn0039219,>4290,>4290
FBgn0039765,>4290,>4290
FBgn0029818,>4290,>4290
FBgn0029118,1064,1023-1105
FBgn0003559,1064,1023-1105
FBgn0039101,22,11-34
FBgn0033469,22,11-34
FBgn0261584,22,11-34
FBgn0042106,22,11-34
FBgn0038144,22,11-34
FBgn0039108,22,11-34
FBgn0038250,91,50-132
FBgn0051220,22,11-34
FBgn0051219,22,11-34
FBgn0262588,22,11-34
FBgn0033365,672,601-743
FBgn0040078,>4290,>4290
FBgn0027375,987,952-1023
FBgn0031865,950,948-952
FBgn0263390,291,272-310
FBgn0032822,987,952-1023
FBgn0000404,987,952-1023
FBgn0030058,987,952-1023
FBgn0036462,950,948-952
FBgn0031255,987,952-1023
FBgn0028837,>4290,>4290
FBgn0033756,22,11-34
FBgn0050054,22,11-34
FBgn0039141,1488,1480-1496
FBgn0036282,1064,1023-1105
FBgn0033259,1064,1023-1105
FBgn0026181,987,952-1023
FBgn0052264,987,952-1023
FBgn0000339,1488,1480-1496
FBgn0033814,987,952-1023
FBgn0038918,987,952-1023
FBgn0038919,987,952-1023
FBgn0051413,987,952-1023
FBgn0262617,886,824-948
FBgn0043362,987,952-1023
FBgn0285911,987,952-1023
FBgn0024179,886,824-948
FBgn0016059,775,753-797
FBgn0052528,775,753-797
FBgn0051119,987,952-1023
FBgn0027492,>4290,>4290
FBgn0033473,>4290,>4290
FBgn0023441,987,952-1023
FBgn0030706,987,952-1023
FBgn0036273,1488,1480-1496
FBgn0051251,987,952-1023
FBgn0266410,987,952-1023
FBgn0030104,987,952-1023
FBgn0263750,22,11-34
FBgn0050011,22,11-34
FBgn0003885,1488,1480-1496
FBgn0003884,1488,1480-1496
FBgn0031961,950,948-952
FBgn0005640,1488,1480-1496
FBgn0028648,1488,1480-1496
FBgn0029504,987,952-1023
FBgn0052006,987,952-1023
FBgn0036770,987,952-1023
FBgn0051151,987,952-1023
FBgn0001104,1064,1023-1105
FBgn0005564,810,797-824
FBgn0025582,810,797-824
FBgn0028382,1488,1480-1496
FBgn0017577,>4290,>4290
FBgn0024362,>4290,>4290
FBgn0032635,>4290,>4290
FBgn0002526,987,952-1023
FBgn0034694,987,952-1023
FBgn0052698,810,797-824
FBgn0023143,>4290,>4290
FBgn0025740,987,952-1023
FBgn0026207,987,952-1023
FBgn0011659,>4290,>4290
FBgn0039741,1488,1480-1496
FBgn0039431,987,952-1023
FBgn0034636,886,824-948
FBgn0033075,886,824-948
FBgn0037063,>4290,>4290
FBgn0037064,>4290,>4290
FBgn0036581,>4290,>4290
FBgn0069938,22,11-34
FBgn0036090,987,952-1023
FBgn0031459,987,952-1023
FBgn0035625,886,824-948
FBgn0032156,987,952-1023
FBgn0005631,987,952-1023
FBgn0011481,987,952-1023
FBgn0032030,1714,1660-1768
FBgn0028369,810,797-824
FBgn0003285,810,797-824
FBgn0022382,987,952-1023
FBgn0010894,775,753-797
FBgn0033032,775,753-797
FBgn0003396,810,797-824
FBgn0037102,810,797-824
FBgn0052499,886,824-948
FBgn0033485,202,132-272
FBgn0004907,987,952-1023
FBgn0030556,>4290,>4290
FBgn0052344,>4290,>4290
FBgn0028516,987,952-1023
FBgn0051860,3,0-6
FBgn0035103,748,743-753
FBgn0031975,748,743-753
FBgn0035430,672,601-743
FBgn0053513,886,824-948
FBgn0029092,987,952-1023
FBgn0012037,950,948-952
FBgn0016122,950,948-952
FBgn0051202,91,50-132
FBgn0052085,886,824-948
FBgn0030328,886,824-948
FBgn0015949,886,824-948
FBgn0040336,886,824-948
FBgn0015278,1064,1023-1105
FBgn0040513,1488,1480-1496
FBgn0038130,748,743-753
FBgn0086687,748,743-753
FBgn0043043,748,743-753
FBgn0029172,91,50-132
FBgn0261550,775,753-797
FBgn0034788,672,601-743
FBgn0034920,672,601-743
FBgn0033362,91,50-132
FBgn0031220,505,480-530
FBgn0031516,748,743-753
FBgn0020762,886,824-948
FBgn0011455,886,824-948
FBgn0014396,1488,1480-1496
FBgn0033309,1488,1480-1496
FBgn0034390,1488,1480-1496
FBgn0010583,775,753-797
FBgn0035227,775,753-797
FBgn0035711,886,824-948
FBgn0038870,886,824-948
FBgn0010215,987,952-1023
FBgn0030067,987,952-1023
FBgn0003861,950,948-952
FBgn0038446,1292,1105-1480
FBgn0266674,1292,1105-1480
FBgn0053260,1292,1105-1480
FBgn0028579,1292,1105-1480
FBgn0261479,1292,1105-1480
FBgn0031229,1714,1660-1768
FBgn0039576,1488,1480-1496
FBgn0030733,1488,1480-1496
FBgn0038641,950,948-952
FBgn0040087,950,948-952
FBgn0020497,1934,1768-2101
FBgn0262124,1934,1768-2101
FBgn0033785,1934,1768-2101
FBgn0010113,1934,1768-2101
FBgn0050421,950,948-952
FBgn0035632,987,952-1023
FBgn0050456,987,952-1023
FBgn0034194,987,952-1023
FBgn0028847,202,132-272
FBgn0028421,202,132-272
FBgn0051145,886,824-948
FBgn0260964,810,797-824
FBgn0010355,810,797-824
FBgn0030447,810,797-824
FBgn0038546,987,952-1023
FBgn0015589,987,952-1023
FBgn0026598,987,952-1023
FBgn0038593,987,952-1023
FBgn0004638,987,952-1023
FBgn0037280,987,952-1023
FBgn0083962,987,952-1023
FBgn0052056,987,952-1023
FBgn0035390,987,952-1023
FBgn0033783,987,952-1023
FBgn0040022,1488,1480-1496
FBgn0035146,987,952-1023
FBgn0023083,1714,1660-1768
FBgn0031968,1714,1660-1768
FBgn0003210,1714,1660-1768
FBgn0034356,1064,1023-1105
FBgn0003067,1064,1023-1105
FBgn0042641,987,952-1023
FBgn0052479,1488,1480-1496
FBgn0085432,1488,1480-1496
FBgn0011692,1488,1480-1496
FBgn0041004,1488,1480-1496
FBgn0000405,1934,1768-2101
FBgn0010314,>4290,>4290
FBgn0034842,>4290,>4290
FBgn0051742,>4290,>4290
FBgn0029134,>4290,>4290
FBgn0263968,1064,1023-1105
FBgn0032967,886,824-948
FBgn0037964,886,824-948
FBgn0031465,886,824-948
FBgn0032964,43,37-50
FBgn0032338,886,824-948
FBgn0051933,43,37-50
FBgn0022344,43,37-50
FBgn0037536,43,37-50
FBgn0030605,43,37-50
FBgn0032781,43,37-50
FBgn0040324,43,37-50
FBgn0027549,43,37-50
FBgn0033169,43,37-50
FBgn0041775,43,37-50
FBgn0032593,950,948-952
FBgn0003074,950,948-952
FBgn0036188,1488,1480-1496
FBgn0016930,950,948-952
FBgn0037758,950,948-952
FBgn0028836,1488,1480-1496
FBgn0026079,1488,1480-1496
FBgn0033260,317,310-325
FBgn0002887,1714,1660-1768
FBgn0261881,1714,1660-1768
FBgn0036663,886,824-948
FBgn0037073,>4290,>4290
FBgn0015521,>4290,>4290
FBgn0032222,1714,1660-1768
FBgn0027498,1714,1660-1768
FBgn0037141,1292,1105-1480
FBgn0017561,810,797-824
FBgn0034229,22,11-34
FBgn0038309,22,11-34
FBgn0036227,91,50-132
FBgn0051077,91,50-132
FBgn0264488,341,325-358
FBgn0033174,35,34-37
FBgn0023524,775,753-797
FBgn0038598,775,753-797
FBgn0034105,91,50-132
FBgn0031403,91,50-132
FBgn0004926,91,50-132
FBgn0035164,91,50-132
FBgn0031041,91,50-132
FBgn0030077,91,50-132
FBgn0015513,22,11-34
FBgn0033389,22,11-34
FBgn0003480,1488,1480-1496
FBgn0020304,202,132-272
FBgn0051989,202,132-272
FBgn0022800,987,952-1023
FBgn0039129,8,6-11
FBgn0031652,91,50-132
FBgn0053643,91,50-132
FBgn0053645,91,50-132
FBgn0053647,91,50-132
FBgn0053644,91,50-132
FBgn0028943,91,50-132
FBgn0028942,91,50-132
FBgn0051477,419,358-480
FBgn0045473,419,358-480
FBgn0052645,419,358-480
FBgn0051784,91,50-132
FBgn0083942,91,50-132
FBgn0085198,91,50-132
FBgn0045487,91,50-132
FBgn0045486,91,50-132
FBgn0045485,91,50-132
FBgn0046888,43,37-50
FBgn0032453,91,50-132
FBgn0032454,91,50-132
FBgn0032455,91,50-132
FBgn0032457,43,37-50
FBgn0032462,43,37-50
FBgn0028965,43,37-50
FBgn0032472,43,37-50
FBgn0036703,43,37-50
FBgn0032473,91,50-132
FBgn0032476,91,50-132
FBgn0032479,202,132-272
FBgn0037811,3,0-6
FBgn0085422,3,0-6
FBgn0032365,3,0-6
FBgn0028379,91,50-132
FBgn0035736,202,132-272
FBgn0031512,202,132-272
FBgn0051698,202,132-272
FBgn0010607,91,50-132
FBgn0031664,91,50-132
FBgn0264742,91,50-132
FBgn0031675,202,132-272
FBgn0031677,202,132-272
FBgn0083970,202,132-272
FBgn0031423,202,132-272
FBgn0085343,202,132-272
FBgn0031434,317,310-325
FBgn0031435,317,310-325
FBgn0031440,91,50-132
FBgn0263322,91,50-132
FBgn0053125,91,50-132
FBgn0026395,341,325-358
FBgn0041248,341,325-358
FBgn0031446,341,325-358
FBgn0031453,341,325-358
FBgn0030048,341,325-358
FBgn0031460,341,325-358
FBgn0028946,291,272-310
FBgn0028370,775,753-797
FBgn0028880,775,753-797
FBgn0032563,775,753-797
FBgn0041103,775,753-797
FBgn0011239,775,753-797
FBgn0028853,775,753-797
FBgn0045842,775,753-797
FBgn0040996,775,753-797
FBgn0032858,202,132-272
FBgn0032261,43,37-50
FBgn0032264,317,310-325
FBgn0032266,91,50-132
FBgn0032268,91,50-132
FBgn0032269,91,50-132
FBgn0250826,91,50-132
FBgn0032271,317,310-325
FBgn0051872,43,37-50
FBgn0043825,43,37-50
FBgn0051871,317,310-325
FBgn0040496,317,310-325
FBgn0023496,202,132-272
FBgn0024740,91,50-132
FBgn0032293,202,132-272
FBgn0051869,202,132-272
FBgn0051870,202,132-272
FBgn0032304,202,132-272
FBgn0004465,202,132-272
FBgn0035761,202,132-272
FBgn0039116,202,132-272
FBgn0036648,202,132-272
FBgn0028399,202,132-272
FBgn0011670,202,132-272
FBgn0003612,202,132-272
FBgn0033449,8,6-11
FBgn0003372,8,6-11
FBgn0030307,8,6-11
FBgn0040892,8,6-11
FBgn0064227,8,6-11
FBgn0035768,8,6-11
FBgn0002862,8,6-11
FBgn0032061,8,6-11
FBgn0264817,8,6-11
FBgn0250851,8,6-11
FBgn0035781,3,0-6
FBgn0263036,43,37-50
FBgn0260776,91,50-132
FBgn0038290,91,50-132
FBgn0261841,91,50-132
FBgn0261842,91,50-132
FBgn0260007,91,50-132
FBgn0260237,91,50-132
FBgn0262717,91,50-132
FBgn0260996,91,50-132
FBgn0259204,91,50-132
FBgn0028692,91,50-132
FBgn0051065,91,50-132
FBgn0035785,91,50-132
FBgn0035779,3,0-6
FBgn0035777,3,0-6
FBgn0035780,3,0-6
FBgn0052379,3,0-6
FBgn0035776,3,0-6
FBgn0260233,3,0-6
FBgn0262002,3,0-6
FBgn0261291,91,50-132
FBgn0266173,91,50-132
FBgn0267651,91,50-132
FBgn0259922,91,50-132
FBgn0261058,3,0-6
FBgn0033353,3,0-6
FBgn0263032,91,50-132
FBgn0082598,91,50-132
FBgn0262592,91,50-132
FBgn0265266,91,50-132
FBgn0262365,91,50-132
FBgn0261019,91,50-132
FBgn0260234,91,50-132
FBgn0262577,91,50-132
FBgn0261714,91,50-132
FBgn0266171,91,50-132
FBgn0037260,91,50-132
FBgn0264897,91,50-132
FBgn0263250,91,50-132
FBgn0261614,91,50-132
FBgn0260770,91,50-132
FBgn0259185,35,34-37
FBgn0259230,43,37-50
FBgn0260428,43,37-50
FBgn0263037,43,37-50
FBgn0261992,91,50-132
FBgn0262613,91,50-132
FBgn0262962,91,50-132
FBgn0262611,91,50-132
FBgn0266431,202,132-272
FBgn0265629,202,132-272
FBgn0042177,3,0-6
FBgn0042178,3,0-6
FBgn0270924,91,50-132
FBgn0001941,91,50-132
FBgn0052603,3,0-6
FBgn0264744,3,0-6
FBgn0262858,3,0-6
FBgn0261290,91,50-132
FBgn0262354,91,50-132
FBgn0261357,91,50-132
FBgn0260452,91,50-132
FBgn0262026,91,50-132
FBgn0262819,91,50-132
FBgn0036620,3,0-6
FBgn0042137,3,0-6
FBgn0262005,3,0-6
FBgn0266430,202,132-272
FBgn0261571,202,132-272
FBgn0267904,3,0-6
FBgn0267903,3,0-6
FBgn0267905,3,0-6
FBgn0267490,35,34-37
FBgn0267412,35,34-37
FBgn0267417,35,34-37
FBgn0267411,35,34-37
FBgn0267413,35,34-37
FBgn0267492,35,34-37
FBgn0267491,35,34-37
FBgn0267493,35,34-37
FBgn0267592,91,50-132
FBgn0033439,3,0-6
FBgn0031818,3,0-6
FBgn0037098,987,952-1023
FBgn0262477,987,952-1023
FBgn0014007,987,952-1023
FBgn0039537,1064,1023-1105
FBgn0025716,419,358-480
FBgn0065035,419,358-480
FBgn0000273,987,952-1023
FBgn0001989,987,952-1023
FBgn0030645,987,952-1023
FBgn0030590,950,948-952
FBgn0033236,950,948-952
FBgn0039972,950,948-952
FBgn0041707,950,948-952
FBgn0024836,987,952-1023
FBgn0037852,1488,1480-1496
FBgn0035078,1488,1480-1496
FBgn0038903,>4290,>4290
FBgn0001991,987,952-1023
FBgn0032846,1488,1480-1496
FBgn0027101,987,952-1023
FBgn0037359,987,952-1023
FBgn0026679,987,952-1023
FBgn0011205,987,952-1023
FBgn0036974,987,952-1023
FBgn0004915,1488,1480-1496
FBgn0264001,987,952-1023
FBgn0011604,1488,1480-1496
FBgn0261788,775,753-797
FBgn0011747,775,753-797
FBgn0011582,202,132-272
FBgn0052549,987,952-1023
FBgn0038872,987,952-1023
FBgn0038233,987,952-1023
FBgn0037632,>4290,>4290
FBgn0008651,886,824-948
FBgn0011278,886,824-948
FBgn0003076,950,948-952
FBgn0032797,748,743-753
FBgn0086604,672,601-743
FBgn0044323,672,601-743
FBgn0045852,775,753-797
FBgn0035999,775,753-797
FBgn0000611,950,948-952
FBgn0038881,775,753-797
FBgn0001128,1292,1105-1480
FBgn0027090,>4290,>4290
FBgn0033313,987,952-1023
FBgn0010473,987,952-1023
FBgn0028901,91,50-132
FBgn0001612,1488,1480-1496
FBgn0038371,1488,1480-1496
FBgn0027095,1488,1480-1496
FBgn0000562,950,948-952
FBgn0013973,950,948-952
FBgn0013972,950,948-952
FBgn0037541,950,948-952
FBgn0031309,950,948-952
FBgn0053544,950,948-952
FBgn0031590,1714,1660-1768
FBgn0262516,1064,1023-1105
FBgn0261361,1064,1023-1105
FBgn0030697,317,310-325
FBgn0026370,202,132-272
FBgn0027784,202,132-272
FBgn0037026,202,132-272
FBgn0034535,419,358-480
FBgn0005771,886,824-948
FBgn0004858,886,824-948
FBgn0085370,987,952-1023
FBgn0263743,3,0-6
FBgn0039663,3,0-6
FBgn0029939,810,797-824
FBgn0261789,810,797-824
FBgn0002973,950,948-952
FBgn0000711,1292,1105-1480
FBgn0037770,1292,1105-1480
FBgn0029594,1292,1105-1480
FBgn0020279,1292,1105-1480
FBgn0262029,987,952-1023
FBgn0083141,35,34-37
FBgn0051902,35,34-37
FBgn0028986,35,34-37
FBgn0028988,43,37-50
FBgn0033115,291,272-310
FBgn0053121,35,34-37
FBgn0034195,35,34-37
FBgn0028987,35,34-37
FBgn0017457,1714,1660-1768
FBgn0259188,43,37-50
FBgn0010399,886,824-948
FBgn0024232,987,952-1023
FBgn0001250,987,952-1023
FBgn0033457,987,952-1023
FBgn0031115,987,952-1023
FBgn0032910,1488,1480-1496
FBgn0029905,1488,1480-1496
FBgn0286213,1488,1480-1496
FBgn0265607,672,601-743
FBgn0053179,672,601-743
FBgn0037022,672,601-743
FBgn0030027,505,480-530
FBgn0052703,>4290,>4290
FBgn0038491,>4290,>4290
FBgn0053481,556,530-583
FBgn0032079,556,530-583
FBgn0037892,556,530-583
FBgn0036341,950,948-952
FBgn0261698,886,824-948
FBgn0035985,556,530-583
FBgn0038819,556,530-583
FBgn0031467,91,50-132
FBgn0035873,556,530-583
FBgn0031407,202,132-272
FBgn0036111,202,132-272
FBgn0036107,>4290,>4290
FBgn0036043,987,952-1023
FBgn0033913,775,753-797
FBgn0027280,556,530-583
FBgn0051664,556,530-583
FBgn0032230,556,530-583
FBgn0263278,556,530-583
FBgn0051099,556,530-583
FBgn0039326,556,530-583
FBgn0051097,43,37-50
FBgn0051102,202,132-272
FBgn0039324,556,530-583
FBgn0051087,556,530-583
FBgn0039328,91,50-132
FBgn0039323,556,530-583
FBgn0037934,91,50-132
FBgn0037936,202,132-272
FBgn0042110,91,50-132
FBgn0039325,556,530-583
FBgn0039321,202,132-272
FBgn0037935,91,50-132
FBgn0045761,556,530-583
FBgn0051288,202,132-272
FBgn0260856,202,132-272
FBgn0261803,886,824-948
FBgn0034180,810,797-824
FBgn0001079,810,797-824
FBgn0030947,202,132-272
FBgn0028945,291,272-310
FBgn0030039,291,272-310
FBgn0031191,291,272-310
FBgn0035462,291,272-310
FBgn0036096,291,272-310
FBgn0037525,291,272-310
FBgn0011666,>4290,>4290
FBgn0023536,950,948-952
FBgn0036332,43,37-50
FBgn0053978,43,37-50
FBgn0026432,987,952-1023
FBgn0039464,556,530-583
FBgn0043001,202,132-272
FBgn0083978,202,132-272
FBgn0029762,505,480-530
FBgn0032213,748,743-753
FBgn0029807,987,952-1023
FBgn0040234,987,952-1023
FBgn0035517,556,530-583
FBgn0011236,556,530-583
FBgn0028644,556,530-583
FBgn0028645,556,530-583
FBgn0013433,556,530-583
FBgn0027556,987,952-1023
FBgn0033289,987,952-1023
FBgn0036014,91,50-132
FBgn0033212,556,530-583
FBgn0262115,>4290,>4290
